Label;Split;Style;Action;Business Object;Tags
alpenglow;['alpenglow'];AN;;;alpenglow<>ANNO, 
alpenhorn;['alpenhorn'];AN;;;alpenhorn<>ANNO, 
alpha;['alpha'];AN;;;alpha<>ANNO, 
alphabet;['alphabet'];AN;;;alphabet<>ANNO, 
alternative;['alternative'];AN;;;alternative<>ANNO, 
altitude;['altitude'];AN;;;altitude<>ANNO, 
alto;['alto'];AN;;;alto<>ANNO, 
aluminium;['aluminium'];AN;;;aluminium<>ANNO, 
aluminum;['aluminum'];AN;;;aluminum<>ANNO, 
ambassador;['ambassador'];AN;;;ambassador<>ANNO, 
ambulance;['ambulance'];AN;;;ambulance<>ANNO, 
amendment;['amendment'];AN;;;amendment<>ANNO, 
america;['america'];AN;;;america<>ANNO, 
amount;['amount'];AN;;;amount<>ANNO, 
amusement;['amusement'];AN;;;amusement<>ANNO, 
anagram;['anagram'];AN;;;anagram<>ANNO, 
analgesia;['analgesia'];AN;;;analgesia<>ANNO, 
analog;['analog'];AN;;;analog<>ANNO, 
analysis;['analysis'];AN;;;analysis<>ANNO, 
analyst;['analyst'];AN;;;analyst<>ANNO, 
anatomy;['anatomy'];AN;;;anatomy<>ANNO, 
anesthesiology;['anesthesiology'];AN;;;anesthesiology<>ANNO, 
anethesiologist;['anethesiologist'];AN;;;anethesiologist<>ANNO, 
anger;['anger'];AN;;;anger<>ANNO, 
angiosperm;['angiosperm'];AN;;;angiosperm<>ANNO, 
angle;['angle'];AN;;;angle<>ANNO, 
angora;['angora'];AN;;;angora<>ANNO, 
angstrom;['angstrom'];AN;;;angstrom<>ANNO, 
anguish;['anguish'];AN;;;anguish<>ANNO, 
animal;['animal'];AN;;;animal<>ANNO, 
anime;['anime'];AN;;;anime<>ANNO, 
ankle;['ankle'];AN;;;ankle<>ANNO, 
anklet;['anklet'];AN;;;anklet<>ANNO, 
annual;['annual'];AN;;;annual<>ANNO, 
anorak;['anorak'];AN;;;anorak<>ANNO, 
answer;['answer'];AN;;;answer<>ANNO, 
ant;['ant'];AN;;;ant<>ANNO, 
antarctica;['antarctica'];AN;;;antarctica<>ANNO, 
anteater;['anteater'];AN;;;anteater<>ANNO, 
antechamber;['antechamber'];AN;;;antechamber<>ANNO, 
antelope;['antelope'];AN;;;antelope<>ANNO, 
anthony;['anthony'];AN;;;anthony<>ANNO, 
anthropology;['anthropology'];AN;;;anthropology<>ANNO, 
antler;['antler'];AN;;;antler<>ANNO, 
anybody;['anybody'];AN;;;anybody<>ANNO, 
anything;['anything'];AN;;;anything<>ANNO, 
anywhere;['anywhere'];AN;;;anywhere<>ANNO, 
apartment;['apartment'];AN;;;apartment<>ANNO, 
ape;['ape'];AN;;;ape<>ANNO, 
aperitif;['aperitif'];AN;;;aperitif<>ANNO, 
apology;['apology'];AN;;;apology<>ANNO, 
psychometrics;['psychometrics'];AN;;;psychometrics<>ANNO, 
sanity;['sanity'];AN;;;sanity<>ANNO, 
correspondence;['correspondence'];AN;;;correspondence<>ANNO, 
scientist;['scientist'];AN;;;scientist<>ANNO, 
storage;['storage'];AN;;;storage<>ANNO, 
similar;['similar'];AN;;;similar<>ANNO, 
predelivery;['predelivery'];AN;;;predelivery<>ANNO, 
postdelivery;['postdelivery'];AN;;;postdelivery<>ANNO, 
intake;['intake'];AN;;;intake<>ANNO, 
initial;['initial'];AN;;;initial<>ANNO, 
dynalogic;['dynalogic'];AN;;;dynalogic<>ANNO, 
captcha;['captcha'];AN;;;captcha<>ANNO, 
4g;['4g'];AN;;;4g<>ANNO, 
weekly;['weekly'];AN;;;weekly<>ANNO, 
specimen;['specimen'];AN;;;specimen<>ANNO, 
apparatus;['apparatus'];AN;;;apparatus<>ANNO, 
collective;['collective'];AN;;;collective<>ANNO, 
consistency;['consistency'];AN;;;consistency<>ANNO, 
apparel;['apparel'];AN;;;apparel<>ANNO, 
appeal;['appeal'];AN;;;appeal<>ANNO, 
appendix;['appendix'];AN;;;appendix<>ANNO, 
apple;['apple'];AN;;;apple<>ANNO, 
critical;['critical'];AN;;;critical<>ANNO, 
applewood;['applewood'];AN;;;applewood<>ANNO, 
appliance;['appliance'];AN;;;appliance<>ANNO, 
approval;['approval'];AN;;;approval<>ANNO, 
april;['april'];AN;;;april<>ANNO, 
apron;['apron'];AN;;;apron<>ANNO, 
apse;['apse'];AN;;;apse<>ANNO, 
aquarius;['aquarius'];AN;;;aquarius<>ANNO, 
aquifer;['aquifer'];AN;;;aquifer<>ANNO, 
arch;['arch'];AN;;;arch<>ANNO, 
archaeology;['archaeology'];AN;;;archaeology<>ANNO, 
archeology;['archeology'];AN;;;archeology<>ANNO, 
archer;['archer'];AN;;;archer<>ANNO, 
architect;['architect'];AN;;;architect<>ANNO, 
architecture;['architecture'];AN;;;architecture<>ANNO, 
arch-rival;['arch-rival'];AN;;;arch-rival<>ANNO, 
area;['area'];AN;;;area<>ANNO, 
argentina;['argentina'];AN;;;argentina<>ANNO, 
argument;['argument'];AN;;;argument<>ANNO, 
aries;['aries'];AN;;;aries<>ANNO, 
arithmetic;['arithmetic'];AN;;;arithmetic<>ANNO, 
arm;['arm'];AN;;;arm<>ANNO, 
armadillo;['armadillo'];AN;;;armadillo<>ANNO, 
armament;['armament'];AN;;;armament<>ANNO, 
armchair;['armchair'];AN;;;armchair<>ANNO, 
armenian;['armenian'];AN;;;armenian<>ANNO, 
armoire;['armoire'];AN;;;armoire<>ANNO, 
armor;['armor'];AN;;;armor<>ANNO, 
arm-rest;['arm-rest'];AN;;;arm-rest<>ANNO, 
army;['army'];AN;;;army<>ANNO, 
arrival;['arrival'];AN;;;arrival<>ANNO, 
arrow;['arrow'];AN;;;arrow<>ANNO, 
art;['art'];AN;;;art<>ANNO, 
artichoke;['artichoke'];AN;;;artichoke<>ANNO, 
artificer;['artificer'];AN;;;artificer<>ANNO, 
ascot;['ascot'];AN;;;ascot<>ANNO, 
ash;['ash'];AN;;;ash<>ANNO, 
ashram;['ashram'];AN;;;ashram<>ANNO, 
ashtray;['ashtray'];AN;;;ashtray<>ANNO, 
asia;['asia'];AN;;;asia<>ANNO, 
asparagus;['asparagus'];AN;;;asparagus<>ANNO, 
asphalt;['asphalt'];AN;;;asphalt<>ANNO, 
assignment;['assignment'];AN;;;assignment<>ANNO, 
assistance;['assistance'];AN;;;assistance<>ANNO, 
associate;['associate'];AN;;;associate<>ANNO, 
association;['association'];AN;;;association<>ANNO, 
asterisk;['asterisk'];AN;;;asterisk<>ANNO, 
astrakhan;['astrakhan'];AN;;;astrakhan<>ANNO, 
astrolabe;['astrolabe'];AN;;;astrolabe<>ANNO, 
astrologer;['astrologer'];AN;;;astrologer<>ANNO, 
astrology;['astrology'];AN;;;astrology<>ANNO, 
astronomy;['astronomy'];AN;;;astronomy<>ANNO, 
atelier;['atelier'];AN;;;atelier<>ANNO, 
athelete;['athelete'];AN;;;athelete<>ANNO, 
athlete;['athlete'];AN;;;athlete<>ANNO, 
atm;['atm'];AN;;;atm<>ANNO, 
atmosphere;['atmosphere'];AN;;;atmosphere<>ANNO, 
atom;['atom'];AN;;;atom<>ANNO, 
atrium;['atrium'];AN;;;atrium<>ANNO, 
attachment;['attachment'];AN;;;attachment<>ANNO, 
attack;['attack'];AN;;;attack<>ANNO, 
attempt;['attempt'];AN;;;attempt<>ANNO, 
attendant;['attendant'];AN;;;attendant<>ANNO, 
attention;['attention'];AN;;;attention<>ANNO, 
attenuation;['attenuation'];AN;;;attenuation<>ANNO, 
attic;['attic'];AN;;;attic<>ANNO, 
attitude;['attitude'];AN;;;attitude<>ANNO, 
attorney;['attorney'];AN;;;attorney<>ANNO, 
attraction;['attraction'];AN;;;attraction<>ANNO, 
audience;['audience'];AN;;;audience<>ANNO, 
auditorium;['auditorium'];AN;;;auditorium<>ANNO, 
august;['august'];AN;;;august<>ANNO, 
aunt;['aunt'];AN;;;aunt<>ANNO, 
australia;['australia'];AN;;;australia<>ANNO, 
australian;['australian'];AN;;;australian<>ANNO, 
author;['author'];AN;;;author<>ANNO, 
authorisation;['authorisation'];AN;;;authorisation<>ANNO, 
authority;['authority'];AN;;;authority<>ANNO, 
authorization;['authorization'];AN;;;authorization<>ANNO, 
automaton;['automaton'];AN;;;automaton<>ANNO, 
avalanche;['avalanche'];AN;;;avalanche<>ANNO, 
avenue;['avenue'];AN;;;avenue<>ANNO, 
average;['average'];AN;;;average<>ANNO, 
azimuth;['azimuth'];AN;;;azimuth<>ANNO, 
babe;['babe'];AN;;;babe<>ANNO, 
babies;['babies'];AN;;;babies<>ANNO, 
baboon;['baboon'];AN;;;baboon<>ANNO, 
babushka;['babushka'];AN;;;babushka<>ANNO, 
baby;['baby'];AN;;;baby<>ANNO, 
back;['back'];AN;;;back<>ANNO, 
backbone;['backbone'];AN;;;backbone<>ANNO, 
backdrop;['backdrop'];AN;;;backdrop<>ANNO, 
backpack;['backpack'];AN;;;backpack<>ANNO, 
bacon;['bacon'];AN;;;bacon<>ANNO, 
bad;['bad'];AN;;;bad<>ANNO, 
badge;['badge'];AN;;;badge<>ANNO, 
badger;['badger'];AN;;;badger<>ANNO, 
bafflement;['bafflement'];AN;;;bafflement<>ANNO, 
bag;['bag'];AN;;;bag<>ANNO, 
bagel;['bagel'];AN;;;bagel<>ANNO, 
bagpipe;['bagpipe'];AN;;;bagpipe<>ANNO, 
bagpipes;['bagpipes'];AN;;;bagpipes<>ANNO, 
bail;['bail'];AN;;;bail<>ANNO, 
bait;['bait'];AN;;;bait<>ANNO, 
bake;['bake'];AN;;;bake<>ANNO, 
baker;['baker'];AN;;;baker<>ANNO, 
bakery;['bakery'];AN;;;bakery<>ANNO, 
bakeware;['bakeware'];AN;;;bakeware<>ANNO, 
balaclava;['balaclava'];AN;;;balaclava<>ANNO, 
balalaika;['balalaika'];AN;;;balalaika<>ANNO, 
balance;['balance'];AN;;;balance<>ANNO, 
balcony;['balcony'];AN;;;balcony<>ANNO, 
balinese;['balinese'];AN;;;balinese<>ANNO, 
ball;['ball'];AN;;;ball<>ANNO, 
balloon;['balloon'];AN;;;balloon<>ANNO, 
ballpark;['ballpark'];AN;;;ballpark<>ANNO, 
bamboo;['bamboo'];AN;;;bamboo<>ANNO, 
banana;['banana'];AN;;;banana<>ANNO, 
band;['band'];AN;;;band<>ANNO, 
bandana;['bandana'];AN;;;bandana<>ANNO, 
bandanna;['bandanna'];AN;;;bandanna<>ANNO, 
bandolier;['bandolier'];AN;;;bandolier<>ANNO, 
bangladesh;['bangladesh'];AN;;;bangladesh<>ANNO, 
bangle;['bangle'];AN;;;bangle<>ANNO, 
banjo;['banjo'];AN;;;banjo<>ANNO, 
bank;['bank'];AN;;;bank<>ANNO, 
bankbook;['bankbook'];AN;;;bankbook<>ANNO, 
banker;['banker'];AN;;;banker<>ANNO, 
banquette;['banquette'];AN;;;banquette<>ANNO, 
baobab;['baobab'];AN;;;baobab<>ANNO, 
bar;['bar'];AN;;;bar<>ANNO, 
barbara;['barbara'];AN;;;barbara<>ANNO, 
barbeque;['barbeque'];AN;;;barbeque<>ANNO, 
barber;['barber'];AN;;;barber<>ANNO, 
barbiturate;['barbiturate'];AN;;;barbiturate<>ANNO, 
barge;['barge'];AN;;;barge<>ANNO, 
baritone;['baritone'];AN;;;baritone<>ANNO, 
barium;['barium'];AN;;;barium<>ANNO, 
barn;['barn'];AN;;;barn<>ANNO, 
barometer;['barometer'];AN;;;barometer<>ANNO, 
barracks;['barracks'];AN;;;barracks<>ANNO, 
barstool;['barstool'];AN;;;barstool<>ANNO, 
base;['base'];AN;;;base<>ANNO, 
baseball;['baseball'];AN;;;baseball<>ANNO, 
basement;['basement'];AN;;;basement<>ANNO, 
basin;['basin'];AN;;;basin<>ANNO, 
basis;['basis'];AN;;;basis<>ANNO, 
basket;['basket'];AN;;;basket<>ANNO, 
basketball;['basketball'];AN;;;basketball<>ANNO, 
bass;['bass'];AN;;;bass<>ANNO, 
bassinet;['bassinet'];AN;;;bassinet<>ANNO, 
bassoon;['bassoon'];AN;;;bassoon<>ANNO, 
bat;['bat'];AN;;;bat<>ANNO, 
bath;['bath'];AN;;;bath<>ANNO, 
bather;['bather'];AN;;;bather<>ANNO, 
bathhouse;['bathhouse'];AN;;;bathhouse<>ANNO, 
bathrobe;['bathrobe'];AN;;;bathrobe<>ANNO, 
bathroom;['bathroom'];AN;;;bathroom<>ANNO, 
bathtub;['bathtub'];AN;;;bathtub<>ANNO, 
batter;['batter'];AN;;;batter<>ANNO, 
battery;['battery'];AN;;;battery<>ANNO, 
batting;['batting'];AN;;;batting<>ANNO, 
battle;['battle'];AN;;;battle<>ANNO, 
battleship;['battleship'];AN;;;battleship<>ANNO, 
bay;['bay'];AN;;;bay<>ANNO, 
bayou;['bayou'];AN;;;bayou<>ANNO, 
beach;['beach'];AN;;;beach<>ANNO, 
bead;['bead'];AN;;;bead<>ANNO, 
beak;['beak'];AN;;;beak<>ANNO, 
beam;['beam'];AN;;;beam<>ANNO, 
bean;['bean'];AN;;;bean<>ANNO, 
beanie;['beanie'];AN;;;beanie<>ANNO, 
beanstalk;['beanstalk'];AN;;;beanstalk<>ANNO, 
bear;['bear'];AN;;;bear<>ANNO, 
beard;['beard'];AN;;;beard<>ANNO, 
beast;['beast'];AN;;;beast<>ANNO, 
beat;['beat'];AN;;;beat<>ANNO, 
beautician;['beautician'];AN;;;beautician<>ANNO, 
beauty;['beauty'];AN;;;beauty<>ANNO, 
beaver;['beaver'];AN;;;beaver<>ANNO, 
bed;['bed'];AN;;;bed<>ANNO, 
bedroom;['bedroom'];AN;;;bedroom<>ANNO, 
bee;['bee'];AN;;;bee<>ANNO, 
beech;['beech'];AN;;;beech<>ANNO, 
beef;['beef'];AN;;;beef<>ANNO, 
beer;['beer'];AN;;;beer<>ANNO, 
beet;['beet'];AN;;;beet<>ANNO, 
beetle;['beetle'];AN;;;beetle<>ANNO, 
beggar;['beggar'];AN;;;beggar<>ANNO, 
beginner;['beginner'];AN;;;beginner<>ANNO, 
begonia;['begonia'];AN;;;begonia<>ANNO, 
behavior;['behavior'];AN;;;behavior<>ANNO, 
beheading;['beheading'];AN;;;beheading<>ANNO, 
behest;['behest'];AN;;;behest<>ANNO, 
belfry;['belfry'];AN;;;belfry<>ANNO, 
belgian;['belgian'];AN;;;belgian<>ANNO, 
belief;['belief'];AN;;;belief<>ANNO, 
believe;['believe'];AN;;;believe<>ANNO, 
bell;['bell'];AN;;;bell<>ANNO, 
belligerency;['belligerency'];AN;;;belligerency<>ANNO, 
bellows;['bellows'];AN;;;bellows<>ANNO, 
belly;['belly'];AN;;;belly<>ANNO, 
belt;['belt'];AN;;;belt<>ANNO, 
bench;['bench'];AN;;;bench<>ANNO, 
bend;['bend'];AN;;;bend<>ANNO, 
beneficiary;['beneficiary'];AN;;;beneficiary<>ANNO, 
benefit;['benefit'];AN;;;benefit<>ANNO, 
bengal;['bengal'];AN;;;bengal<>ANNO, 
beret;['beret'];AN;;;beret<>ANNO, 
berry;['berry'];AN;;;berry<>ANNO, 
bestseller;['bestseller'];AN;;;bestseller<>ANNO, 
best-seller;['best-seller'];AN;;;best-seller<>ANNO, 
betty;['betty'];AN;;;betty<>ANNO, 
beverage;['beverage'];AN;;;beverage<>ANNO, 
beyond;['beyond'];AN;;;beyond<>ANNO, 
bibliography;['bibliography'];AN;;;bibliography<>ANNO, 
bicycle;['bicycle'];AN;;;bicycle<>ANNO, 
bid;['bid'];AN;;;bid<>ANNO, 
bidet;['bidet'];AN;;;bidet<>ANNO, 
bifocals;['bifocals'];AN;;;bifocals<>ANNO, 
big;['big'];AN;;;big<>ANNO, 
big-rig;['big-rig'];AN;;;big-rig<>ANNO, 
bijou;['bijou'];AN;;;bijou<>ANNO, 
bike;['bike'];AN;;;bike<>ANNO, 
bikini;['bikini'];AN;;;bikini<>ANNO, 
bill;['bill'];AN;;;bill<>ANNO, 
billboard;['billboard'];AN;;;billboard<>ANNO, 
bin;['bin'];AN;;;bin<>ANNO, 
biology;['biology'];AN;;;biology<>ANNO, 
biplane;['biplane'];AN;;;biplane<>ANNO, 
birch;['birch'];AN;;;birch<>ANNO, 
bird;['bird'];AN;;;bird<>ANNO, 
birdbath;['birdbath'];AN;;;birdbath<>ANNO, 
birdcage;['birdcage'];AN;;;birdcage<>ANNO, 
birdhouse;['birdhouse'];AN;;;birdhouse<>ANNO, 
bird-watcher;['bird-watcher'];AN;;;bird-watcher<>ANNO, 
birth;['birth'];AN;;;birth<>ANNO, 
birthday;['birthday'];AN;;;birthday<>ANNO, 
bit;['bit'];AN;;;bit<>ANNO, 
bite;['bite'];AN;;;bite<>ANNO, 
black;['black'];AN;;;black<>ANNO, 
blackberry;['blackberry'];AN;;;blackberry<>ANNO, 
blackboard;['blackboard'];AN;;;blackboard<>ANNO, 
blackfish;['blackfish'];AN;;;blackfish<>ANNO, 
bladder;['bladder'];AN;;;bladder<>ANNO, 
blade;['blade'];AN;;;blade<>ANNO, 
blame;['blame'];AN;;;blame<>ANNO, 
blank;['blank'];AN;;;blank<>ANNO, 
blanket;['blanket'];AN;;;blanket<>ANNO, 
blazer;['blazer'];AN;;;blazer<>ANNO, 
blight;['blight'];AN;;;blight<>ANNO, 
blinker;['blinker'];AN;;;blinker<>ANNO, 
blister;['blister'];AN;;;blister<>ANNO, 
blizzard;['blizzard'];AN;;;blizzard<>ANNO, 
block;['block'];AN;;;block<>ANNO, 
blocker;['blocker'];AN;;;blocker<>ANNO, 
blood;['blood'];AN;;;blood<>ANNO, 
bloodflow;['bloodflow'];AN;;;bloodflow<>ANNO, 
bloom;['bloom'];AN;;;bloom<>ANNO, 
bloomers;['bloomers'];AN;;;bloomers<>ANNO, 
blossom;['blossom'];AN;;;blossom<>ANNO, 
blouse;['blouse'];AN;;;blouse<>ANNO, 
blow;['blow'];AN;;;blow<>ANNO, 
blowgun;['blowgun'];AN;;;blowgun<>ANNO, 
blowhole;['blowhole'];AN;;;blowhole<>ANNO, 
blue;['blue'];AN;;;blue<>ANNO, 
blueberry;['blueberry'];AN;;;blueberry<>ANNO, 
boar;['boar'];AN;;;boar<>ANNO, 
board;['board'];AN;;;board<>ANNO, 
boat;['boat'];AN;;;boat<>ANNO, 
boat-building;['boat-building'];AN;;;boat-building<>ANNO, 
boatload;['boatload'];AN;;;boatload<>ANNO, 
boatyard;['boatyard'];AN;;;boatyard<>ANNO, 
bobcat;['bobcat'];AN;;;bobcat<>ANNO, 
body;['body'];AN;;;body<>ANNO, 
bog;['bog'];AN;;;bog<>ANNO, 
bolero;['bolero'];AN;;;bolero<>ANNO, 
bolt;['bolt'];AN;;;bolt<>ANNO, 
bomb;['bomb'];AN;;;bomb<>ANNO, 
bomber;['bomber'];AN;;;bomber<>ANNO, 
bondsman;['bondsman'];AN;;;bondsman<>ANNO, 
bone;['bone'];AN;;;bone<>ANNO, 
bongo;['bongo'];AN;;;bongo<>ANNO, 
bonnet;['bonnet'];AN;;;bonnet<>ANNO, 
bonsai;['bonsai'];AN;;;bonsai<>ANNO, 
bonus;['bonus'];AN;;;bonus<>ANNO, 
boogeyman;['boogeyman'];AN;;;boogeyman<>ANNO, 
book;['book'];AN;;;book<>ANNO, 
bookcase;['bookcase'];AN;;;bookcase<>ANNO, 
bookend;['bookend'];AN;;;bookend<>ANNO, 
booklet;['booklet'];AN;;;booklet<>ANNO, 
booster;['booster'];AN;;;booster<>ANNO, 
boot;['boot'];AN;;;boot<>ANNO, 
bootee;['bootee'];AN;;;bootee<>ANNO, 
bootie;['bootie'];AN;;;bootie<>ANNO, 
boots;['boots'];AN;;;boots<>ANNO, 
booty;['booty'];AN;;;booty<>ANNO, 
border;['border'];AN;;;border<>ANNO, 
bore;['bore'];AN;;;bore<>ANNO, 
bosom;['bosom'];AN;;;bosom<>ANNO, 
botany;['botany'];AN;;;botany<>ANNO, 
bottle;['bottle'];AN;;;bottle<>ANNO, 
bottling;['bottling'];AN;;;bottling<>ANNO, 
bottom;['bottom'];AN;;;bottom<>ANNO, 
bottom-line;['bottom-line'];AN;;;bottom-line<>ANNO, 
boudoir;['boudoir'];AN;;;boudoir<>ANNO, 
bough;['bough'];AN;;;bough<>ANNO, 
boundary;['boundary'];AN;;;boundary<>ANNO, 
bow;['bow'];AN;;;bow<>ANNO, 
bower;['bower'];AN;;;bower<>ANNO, 
bowl;['bowl'];AN;;;bowl<>ANNO, 
bowler;['bowler'];AN;;;bowler<>ANNO, 
bowling;['bowling'];AN;;;bowling<>ANNO, 
bowtie;['bowtie'];AN;;;bowtie<>ANNO, 
box;['box'];AN;;;box<>ANNO, 
boxer;['boxer'];AN;;;boxer<>ANNO, 
boxspring;['boxspring'];AN;;;boxspring<>ANNO, 
boy;['boy'];AN;;;boy<>ANNO, 
bra;['bra'];AN;;;bra<>ANNO, 
brace;['brace'];AN;;;brace<>ANNO, 
bracelet;['bracelet'];AN;;;bracelet<>ANNO, 
bracket;['bracket'];AN;;;bracket<>ANNO, 
brain;['brain'];AN;;;brain<>ANNO, 
brake;['brake'];AN;;;brake<>ANNO, 
branch;['branch'];AN;;;branch<>ANNO, 
brand;['brand'];AN;;;brand<>ANNO, 
brandy;['brandy'];AN;;;brandy<>ANNO, 
brass;['brass'];AN;;;brass<>ANNO, 
brassiere;['brassiere'];AN;;;brassiere<>ANNO, 
bratwurst;['bratwurst'];AN;;;bratwurst<>ANNO, 
brazil;['brazil'];AN;;;brazil<>ANNO, 
bread;['bread'];AN;;;bread<>ANNO, 
breadcrumb;['breadcrumb'];AN;;;breadcrumb<>ANNO, 
break;['break'];AN;;;break<>ANNO, 
breakfast;['breakfast'];AN;;;breakfast<>ANNO, 
breakpoint;['breakpoint'];AN;;;breakpoint<>ANNO, 
breast;['breast'];AN;;;breast<>ANNO, 
breastplate;['breastplate'];AN;;;breastplate<>ANNO, 
breath;['breath'];AN;;;breath<>ANNO, 
breeze;['breeze'];AN;;;breeze<>ANNO, 
brian;['brian'];AN;;;brian<>ANNO, 
bribery;['bribery'];AN;;;bribery<>ANNO, 
brick;['brick'];AN;;;brick<>ANNO, 
bricklaying;['bricklaying'];AN;;;bricklaying<>ANNO, 
bridge;['bridge'];AN;;;bridge<>ANNO, 
brief;['brief'];AN;;;brief<>ANNO, 
briefs;['briefs'];AN;;;briefs<>ANNO, 
brilliant;['brilliant'];AN;;;brilliant<>ANNO, 
british;['british'];AN;;;british<>ANNO, 
broccoli;['broccoli'];AN;;;broccoli<>ANNO, 
brochure;['brochure'];AN;;;brochure<>ANNO, 
broiler;['broiler'];AN;;;broiler<>ANNO, 
broker;['broker'];AN;;;broker<>ANNO, 
brome;['brome'];AN;;;brome<>ANNO, 
bronchitis;['bronchitis'];AN;;;bronchitis<>ANNO, 
bronco;['bronco'];AN;;;bronco<>ANNO, 
bronze;['bronze'];AN;;;bronze<>ANNO, 
brooch;['brooch'];AN;;;brooch<>ANNO, 
brood;['brood'];AN;;;brood<>ANNO, 
brook;['brook'];AN;;;brook<>ANNO, 
broom;['broom'];AN;;;broom<>ANNO, 
brother;['brother'];AN;;;brother<>ANNO, 
brother-in-law;['brother-in-law'];AN;;;brother-in-law<>ANNO, 
brow;['brow'];AN;;;brow<>ANNO, 
brown;['brown'];AN;;;brown<>ANNO, 
brush;['brush'];AN;;;brush<>ANNO, 
brushfire;['brushfire'];AN;;;brushfire<>ANNO, 
brushing;['brushing'];AN;;;brushing<>ANNO, 
