Model ID;Label;Split;Style;Action;Business Object;Addition;Tags
916;accept result;;VO;accept;result;;
676;accept solution in ticket;;VO;accept;solution;in ticket;
676;accept solution in ticket;;VO;accept;solution;in ticket;
369;accept terms and conditions;;VO;accept;terms and conditions;;
444;accept terms and conditions;;VO;accept;terms and conditions;;
18;access capacity availability;;VO;access;capacity availability;;
438;access change;;VO;access;change;;
5;access for agents;;VO;access;;for agents;
53;access to switchboard software;;VO;access;;to switchboard software;
179;acknowledge and inform customer;;VO;acknowledge and inform;customer;;
175;acknowledge readiness;;VO;acknowledge;readiness;;
117;acknowledge receipt order;;VO;acknowledge;receipt order;;
747;acknowledge receipt order;;VO;acknowledge;receipt order;;
943;acquire budget;;VO;acquire;budget;;
939;acquire delivery report;;VO;acquire;delivery report;;
41;acquire new service;;VO;acquire;new service;;
789;acquire new service;;VO;acquire;new service;;
227;acquire rcs e;;VO;acquire;rcs e;;
18;acquire vsdm;;VO;acquire;vsdm;;
862;acquisition fulfillment;;AN;fulfill;acquisition;;
41;acquisition telesales;;VO;acquire;telesales;;
186;activate billing;;VO;activate;billing;;
176;activate billing and create one time charges;;VO;activate;billing and create one time charges;;
186;activate billing for business partners;;VO;activate;billing;for business partners;
19;activate cpe;;VO;activate;cpe;;
185;activate cpe;;VO;activate;cpe;;
787;activate ctn;;VO;activate;ctn;;
16;activate customer specific e2e monitoring;;VO;activate;customer specific e2e monitoring;;
769;;;;;;;
663;activate new nfc sim;;VO;activate;new nfc sim;;
664;activate new nfc sim via online portal;;VO;activate;new nfc sim;via online portal;
642;activate nfc compliant sim;;VO;activate;nfc compliant sim;;
949;activate number range;;VO;activate;number range;;
867;activate number range;;VO;activate;number range;;
56;activate postpaid nfc sim;;VO;activate;postpaid nfc sim;;
56;activate prepaid nfc sim;;VO;activate;prepaid nfc sim;;
642;activate regular sim;;VO;activate;regular sim;;
415;activate replacement sim;;VO;activate;replacement sim;;
758;activate replacement sim;;VO;activate;replacement sim;;
97;activate replacement sim online;;VO;activate;replacement sim online;;
479;activate replacement sim online;;VO;activate;replacement sim online;;
48;activate replacement sim online 2893865;;VO;activate;replacement sim online 2893865;;
43;activate resources;;VO;activate;resources;;
43;activate resources;;VO;activate;resources;;
72;activate resources;;VO;activate;resources;;
72;activate resources;;VO;activate;resources;;
84;activate resources;;VO;activate;resources;;
887;activate resources;;VO;activate;resources;;
887;activate resources;;VO;activate;resources;;
457;activate services;;VO;activate;services;;
113;activate sim;;VO;activate;sim;;
163;activate sim;;VO;activate;sim;;
229;activate sim;;VO;activate;sim;;
663;activate sim;;VO;activate;sim;;
664;activate sim;;VO;activate;sim;;
97;activate sim card through cm;;VO;activate;sim card through cm;;
99;activate sim card through cm;;VO;activate;sim card through cm;;
479;activate sim card through cm;;VO;activate;sim card through cm;;
57;activate simcard;;VO;activate;simcard;;
58;activate simcard;;VO;activate;simcard;;
532;activate simcard;;VO;activate;simcard;;
5;activate simcard;;VO;activate;simcard;;
89;activate subscription;;VO;activate;subscription;;
56;activate suspended nfc sim;;VO;activate;suspended nfc sim;;
368;activate system;;VO;activate;system;;
996;adapt price list;;VO;adapt;price list;;
87;adapt quarterly promo proposal;;VO;adapt;quarterly promo proposal;;
181;adapt service configuration;;VO;adapt;service configuration;;
967;adapt wla;;VO;adapt;wla;;
292;add / modify document;;VO;add and modify;document;;
92;add amount to be paid to gemini;;VO;add;amount;;
285;add article items in sap;;VO;add;article items;in sap;
438;add change request to cab agenda;;VO;add;change request;to cab agenda;
916;add changes on the product catalogue;;VO;add;changes;on the product catalogue;
888;add cpe to stock;;VO;add;cpe;to stock;
937;add created cases to correct worklist;;VO;add;created cases;to correct worklist;
12;add credit note;;VO;add;credit note;;
164;add credit note and update retour report;;VO;add;credit note and update retour report;;
69;add ctn to the acl;;VO;add;ctn;;
955;add ctn to vpn;;VO;add;ctn;;
338;add customer information;;VO;add;customer information;;
175;add customer to agilent tooling;;VO;add;customer;to agilent tooling;
33;add customer to airwatch;;VO;add;customer;;
23;add customer to airwatch;;VO;add;customer;to airwatch;
23;add customer to airwatch;;VO;add;customer;to airwatch;
81;add device to stock;;VO;add;device;;
968;add devices in sap;;VO;add;devices;in sap;
119;add end user role to administrator;;VO;add;end user role;;
216;add feedback;;VO;add;feedback;;
849;add feedback to remedy ticket;;VO;add;feedback;to remedy ticket;
216;add feedback to test results;;VO;add;feedback;to test results;
592;add members;;VO;add;members;;
373;add new articles;;VO;add;new articles;;
44;add new device to vodafone portfolio;;VO;add;new device;;
144;add new nba treatments to lcm;;VO;add;new nba treatments;to lcm;
491;add nfc complaint simcard to order;;VO;add;nfc complaint simcard;to order;
492;add nfc complaint simcard to order;;VO;add;nfc complaint simcard;to order;
493;add nfc complaint simcard to order;;VO;add;nfc complaint simcard;to order;
35;add on offering;;VO;add on;offering;;
35;add on soc;;VO;add on;soc;;
634;add order to bop;;VO;add;order;to bop;
782;add order to bop;;VO;add;order;to bop;
843;add order to bop;;VO;add;order;to bop;
491;add regular simcard to the order;;VO;add;regular simcard;to the order;
492;add regular simcard to the order;;VO;add;regular simcard;to the order;
493;add regular simcard to the order;;VO;add;regular simcard;to the order;
291;add related accessories;;VO;add;related accessories;;
458;add related accessories;;VO;add;related accessories;;
7;add returned devices to stock;;VO;add;returned devices;to stock;
913;add returned devices to stock;;VO;add;returned devices;to stock;
861;add rfc to cab agenda;;VO;add;rfc;to cab agenda;
956;add seat;;VO;add;seat;;
33;add seats to airwatch;;VO;add;seats;for business partners;
23;add seats to airwatch;;VO;add;seats;to airwatch;
23;add seats to airwatch trial;;VO;add;seats;to airwatch trial;
16;add test numbers to one net vpn;;VO;add;test numbers;to one net vpn;
5;add to current stock;;VO;add to;current stock;;
53;add to current stock;;VO;add to;current stock;;
627;add to current stock;;VO;add to;current stock;;
921;add to gemini;;VO;add to;gemini;;
5;add to scrap stock;;VO;add to;scrap stock;;
53;add to scrap stock;;VO;add to;scrap stock;;
627;add to scrap stock;;VO;add to;scrap stock;;
5;add to service stock;;VO;add to;service stock;;
627;add to service stock;;VO;add to;service stock;;
942;add to service stock;;VO;add to;service stock;;
144;add treatment code to analytics;;VO;add;treatment code;to analytics;
361;add vf garant to order basket;;VO;add;vf garant;;
33;add vsdm seats soc;;VO;add;vsdm seats soc;;
2;add vsdm setup support soc;;VO;add;vsdm setup support soc;;
33;add vsdm soc;;VO;add;vsdm soc;;
23;add vsdm trial seats soc;;VO;add;vsdm trial seats soc;;
23;add vsdm trial soc;;VO;add;vsdm trial soc;;
51;add whitelist contacts optional;;VO;add;whitelist contacts optional;;
11;;;;;;;
26;;;;;;;
1;;;;;;;
11;;;;;;;
16;;;;;;;
131;address validation;;VO;address;validation;;
131;address validation 2;;VO;address;validation 2;;
12;adjust 3tm order;;VO;adjust;3tm order;;
58;adjust 3tm order;;VO;adjust;3tm order;;
79;adjust 3tm order;;VO;adjust;3tm order;;
541;adjust 3tm order;;VO;adjust;3tm order;;
376;adjust dealer code;;VO;adjust;dealer code;;
386;adjust dealer code;;VO;adjust;dealer code;;
696;adjust dealer code;;VO;adjust;dealer code;;
139;adjust excel file;;VO;adjust;excel file;;
536;adjust hardware reservation;;VO;adjust;hardware reservation;;
539;adjust mass update template;;VO;adjust;mass update template;;
62;adjust myvodafone;;VO;adjust;myvodafone;;
995;;;;;;;
958;adjust reservation;;VO;adjust;reservation;;
685;adjust stock;;VO;adjust;stock;;
689;adjust stock;;VO;adjust;stock;;
138;administrate link order and retour and book item back in stock;;VO;administrate;link order and retour and book item back;in stock;
138;administrate suspend;;VO;administrate;suspend;;
231;advise customer to go to vf shop;;VO;advise;customer;;
231;advise customer to go to vf shop;;VO;advise;customer;to go to vf shop;
394;advise on target group;;VO;advise;;on target group;
324;aggregate and process forecast;;VO;aggregate and process;forecast;;
973;aggregate and process forecast;;VO;aggregate and process;forecast;;
279;align sms sending with mobile water;;VO;align;sms sending;with mobile water;
279;align with vf;;VO;align;;with vf;
55;allocate available numbers to pool;;VO;allocate;available numbers;to pool;
363;allocate nff charges to repair order;;VO;allocate;nff charges;;
562;allocate nff charges to repair order;;VO;allocate;nff charges;to repair order;
811;allocate nff charges to repair order;;VO;allocate;nff charges;to repair order;
363;allocate repair cost to repair order;;VO;allocate;repair cost;to repair order;
562;allocate repair cost to repair order;;VO;allocate;repair cost;to repair order;
811;allocate repair cost to repair order;;VO;allocate;repair cost;to repair order;
97;allocate stock to sales orders;;VO;allocate;stock;to sales orders;
268;allocate stock to vdcs;;VO;allocate;stock;to vdcs;
829;allocate stock to virtual dcs;;VO;allocate;stock;to virtual dcs;
845;allocate stock to virtual dcs;;VO;allocate;stock;to virtual dcs;
961;allow purchase;;VO;allow;purchase;;
976;amdocs solve incident;;DES;solve;incident;;
66;analyse billing issue;;VO;analyse;billing issue;;
545;analyse billing issue;;VO;analyse;billing issue;;
814;analyse case priority;;VO;analyse;case priority;;
84;analyse customer complaint;;VO;analyse;customer complaint;;
814;analyse customer complaint;;VO;analyse;customer complaint;;
472;analyse data integrity reports;;VO;analyse;data integrity reports;;
676;analyse dispute ticket;;VO;analyse;dispute ticket;;
997;analyse impact;;VO;analyse;impact;;
729;analyse incident;;VO;analyse;incident;;
732;analyse incident;;VO;analyse;incident;;
73;analyse incident;;VO;analyse;incident;;
77;analyse incident 2nd line;;VO;analyse;incident 2nd line;;
976;analyse incident 2nd line;;VO;analyse;incident 2nd line;;
976;analyse incident by cm 2nd line support;;VO;analyse;incident;by cm 2nd line support;
976;analyse incident by cm billing support;;VO;analyse;incident;by cm billing support;
78;analyse incident cm technical support;;VO;analyse;incident cm technical support;;
881;analyse incident enterprise solutions;;VO;analyse;incident enterprise solutions;;
76;analyse incident enterprise solutions;;VO;analyse;incident enterprise solutions;;
76;analyse incident ericsson;;VO;analyse;incident ericsson;;
881;analyse incident ericsson;;VO;analyse;incident ericsson;;
975;analyse incident measure fiber;;VO;analyse;incident measure fiber;;
76;analyse incident ra;;VO;analyse;incident ra;;
881;analyse incident ra;;VO;analyse;incident ra;;
733;analyse incident radioaccess;;VO;analyse;incident radioaccess;;
881;analyse incident smc;;VO;analyse;incident smc;;
939;analyse internal sla reports;;VO;analyse;internal sla reports;;
231;analyse issue;;VO;analyse;issue;;
231;analyse issue;;VO;analyse;issue;;
231;analyse issue;;VO;analyse;issue;;
358;analyse issue;;VO;analyse;issue;;
432;analyse issue;;VO;analyse;issue;;
712;analyse issue cm 1st line;;VO;analyse;issue cm 1st line;;
547;analyse issue cm 2nd line;;VO;analyse;issue cm 2nd line;;
66;analyse issue corporate customer;;VO;analyse;issue corporate customer;;
545;analyse issue corporate customer;;VO;analyse;issue corporate customer;;
73;analyse issue vic customer;;VO;analyse;issue vic customer;;
713;analyse issue vic customer;;VO;analyse;issue vic customer;;
995;analyse new direction and execute necessary actions;;VO;analyse;new direction and execute necessary actions;;
647;analyse package and return note;;VO;analyse;package and return note;;
648;analyse package and return note;;VO;analyse;package and return note;;
635;analyse possible actions;;VO;analyse;possible actions;;
623;analyse question;;VO;analyse;question;;
93;analyse report;;VO;analyse;report;;
666;analyse report and request for switch back;;VO;analyse;report and request;for switch back;
667;analyse report and request for switch back;;VO;analyse;report and request;for switch back;
715;analyse search data;;VO;analyse;search data;;
975;analyse standard check results;;VO;analyse;standard check results;;
635;analyse ticket;;VO;analyse;ticket;;
714;analyse web content;;VO;analyse;web content;;
358;analyse white list issue;;VO;analyse;white list issue;;
97;analysis and diagnosis enn;;AN;analyse;analysis and diagnosis;;
551;analyze / handle ticket;;VO;analyze and handle;ticket;;
292;analyze bill rejection;;VO;analyze;bill rejection;;
315;analyze case;;VO;analyze;case;;
351;analyze case;;VO;analyze;case;;
353;analyze case;;VO;analyze;case;;
374;analyze case;;VO;analyze;case;;
18;analyze customer case;;VO;analyze;customer case;;
227;analyze customer case;;VO;analyze;customer case;;
998;analyze design;;VO;analyze;design;;
27;analyze incident;;VO;analyze;incident;;
27;analyze incident;;VO;analyze;incident;;
13;analyze incident configuration change;;VO;analyze;incident configuration change;;
935;analyze network or service design;;VO;analyze;network or service design;;
94;analyze online effectivitiy;;VO;analyze;online effectivitiy;;
92;analyze periods test environment available;;VO;analyze;periods test environment available;;
7;analyze problem;;VO;analyze;problem;;
7;analyze problem;;VO;analyze;problem;;
697;analyze problem;;VO;analyze;problem;;
428;analyze report;;VO;analyze;report;;
1;analyze request;;VO;analyze;request;;
669;analyze request;;VO;analyze;request;;
411;analyze request 1st line;;VO;analyze;request 1st line;;
411;analyze request 2nd line;;VO;analyze;request 2nd line;;
411;analyze request 3rd line;;VO;analyze;request 3rd line;;
669;analyze request sp;;VO;analyze;request sp;;
336;analyze requirements;;VO;analyze;requirements;;
945;analyze rfc;;VO;analyze;rfc;;
18;answer customer question mobidm migration;;VO;answer;customer question mobidm migration;;
227;answer customer question rcs e;;VO;answer;customer question rcs e;;
18;answer customer question vsdm;;VO;answer;customer question vsdm;;
85;answer question;;VO;answer;question;;
711;answer question;;VO;answer;question;;
835;answer question;;VO;answer;question;;
71;answer question cm 1st line;;VO;answer;question cm 1st line;;
548;answer question cm 1st line;;VO;answer;question cm 1st line;;
712;answer question cm 1st line;;VO;answer;question cm 1st line;;
24;answer questions;;VO;answer;questions;;
223;application management;;AN;manage;application;;
962;application support;;AN;support;application;;
75;apply maf validation rules;;VO;apply;maf validation rules;;
8;appoint lead designer;;VO;appoint;lead designer;;
11;appoint lead designer feasibility study;;VO;appoint;lead designer feasibility study;;
11;appoint pl;;VO;appoint;pl;;
846;approach delinquent customer;;VO;approach;delinquent customer;;
511;approach target customer;;VO;approach;target customer;;
561;approach target customers;;VO;approach;target customers;;
962;approval by customer;;AN;approve;;by customer;
235;approval by management;;AN;approve;;by management;
292;approve bill cycle;;VO;approve;bill cycle;;
549;approve client;;VO;approve;client;;
131;approve contract;;VO;approve;contract;;
292;approve contract;;VO;approve;contract;;
295;approve contract;;VO;approve;contract;;
185;approve delivery;;VO;approve;delivery;;
836;approve design and testing document and continue based on trigger;;VO;approve;design and testing document and continue based;;
292;approve indirect contract;;VO;approve;indirect contract;;
295;approve indirect contract;;VO;approve;indirect contract;;
14;approve installation date;;VO;approve;installation date;;
84;approve manual completion;;VO;approve;manual completion;;
84;approve manual completion2;;VO;approve;manual completion2;;
292;approve online order;;VO;approve;online order;;
295;approve online order;;VO;approve;online order;;
31;approve order;;VO;approve;order;;
556;approve order;;VO;approve;order;;
968;approve order;;VO;approve;order;;
314;approve order summary;;VO;approve;order summary;;
18;approve planning;;VO;approve;planning;;
826;approve planning;;VO;approve;planning;;
93;approve port out request;;VO;approve;port out request;;
355;approve port out request;;VO;approve;port out request;;
858;approve promo;;VO;approve;promo;;
37;approve purchase order;;VO;approve;purchase order;;
37;approve purchase order;;VO;approve;purchase order;;
267;approve purchase order;;VO;approve;purchase order;;
267;approve purchase order;;VO;approve;purchase order;;
273;approve purchase order;;VO;approve;purchase order;;
273;approve purchase order;;VO;approve;purchase order;;
972;approve purchase order;;VO;approve;purchase order;;
972;approve purchase order;;VO;approve;purchase order;;
764;approve quote;;VO;approve;quote;;
81;approve request;;VO;approve;request;;
292;approve shopping cart by customer;;VO;approve;shopping cart;by customer;
332;approve shopping cart by customer;;VO;approve;shopping cart;by customer;
723;approve sla;;VO;approve;sla;;
666;approve switch back;;VO;approve;switch back;;
667;approve switch back;;VO;approve;switch back;;
31;approve terms and conditions;;VO;approve;terms and conditions;;
552;approve wit;;VO;approve;wit;;
553;approve wit;;VO;approve;wit;;
18;aquire vsdm by migrating mobidm to vsdm;;VO;aquire;vsdm;by migrating mobidm to vsdm;
961;archive license key document;;VO;archive;license key document;;
175;archive sim plus number;;VO;archive;sim plus number;;
7;argue disapprove;;VO;argue;disapprove;;
913;argue disapprove;;VO;argue;disapprove;;
779;arrange adonis environment;;VO;arrange;adonis environment;;
292;arrange events in bss;;VO;arrange;events;in bss;
292;arrange events in gemini;;VO;arrange;events;in gemini;
631;arrange exchange device;;VO;arrange;exchange device;;
26;arrange go no go meeting 3672734;;VO;arrange;go no go meeting 3672734;;
631;arrange pick up;;VO;arrange;pick up;;
955;arrange sim card;;VO;arrange;sim card;;
647;arrange transport;;VO;arrange;transport;;
648;arrange transport;;VO;arrange;transport;;
676;ask dynagroup for ciboodle case id with online order #;;VO;ask;dynagroup;for ciboodle case id with online order #;
595;ask eurofiber confirmation;;VO;ask;eurofiber confirmation;;
634;ask eurofiber confirmation;;VO;ask;eurofiber confirmation;;
843;ask eurofiber confirmation;;VO;ask;eurofiber confirmation;;
98;ask eurofiber quote;;VO;ask;eurofiber quote;;
595;ask eurofiber quote;;VO;ask;eurofiber quote;;
634;ask eurofiber quote;;VO;ask;eurofiber quote;;
843;ask eurofiber quote;;VO;ask;eurofiber quote;;
98;ask eurofiber standard quote;;VO;ask;eurofiber standard quote;;
863;ask explanation;;VO;ask;explanation;;
8;ask for change request;;VO;ask for;change request;;
685;ask for explanation;;VO;ask for;explanation;;
689;ask for explanation;;VO;ask for;explanation;;
83;ask imei of device;;VO;ask;imei;of device;
623;ask permission customer;;VO;ask;permission customer;;
442;ask question;;VO;ask;question;;
8;ask stakeholder for more information;;VO;ask;stakeholder;for more information;
839;ask to let the contractor call;;VO;ask;;to let the contractor call;
98;ask weas quote;;VO;ask;weas quote;;
595;ask weas quote;;VO;ask;weas quote;;
634;ask weas quote;;VO;ask;weas quote;;
843;ask weas quote;;VO;ask;weas quote;;
36;assemble and maintain one net releases;;VO;assemble and maintain;one net releases;;
944;assemble problem solving team pst;;VO;assemble;problem solving team pst;;
87;asses feasibility results;;VO;asses;feasibility results;;
374;assess / analyze;;VO;assess and analyze;;;
374;assess case;;VO;assess;case;;
19;assess delivery;;VO;assess;delivery;;
292;assess direct customer order;;VO;assess;direct customer order;;
329;assess direct customer order;;VO;assess;direct customer order;;
391;assess exposure to key risks;;VO;assess;exposure;to key risks;
36;assess external test results;;VO;assess;external test results;;
858;assess feasibility;;VO;assess;feasibility;;
31;assess information;;VO;assess;information;;
577;assess legal impact special number;;VO;assess;legal impact special number;;
252;assess order;;VO;assess;order;;
319;assess order with site survey;;VO;assess;order;;
87;assess pid on completeness and perform feasibility study;;VO;assess;pid;;
87;assess pid on completeness and update implementation specifics;;VO;assess;pid;;
88;assess privacy self evaluation;;VO;assess;privacy self evaluation;;
363;assess purchase order;;VO;assess;purchase order;;
562;assess purchase order;;VO;assess;purchase order;;
811;assess purchase order;;VO;assess;purchase order;;
36;assess testresults;;VO;assess;testresults;;
926;assess testresults;;VO;assess;testresults;;
68;assess ways to send back device;;VO;assess;ways;;
198;assign actions;;VO;assign;actions;;
623;assign case to 2nd line;;VO;assign;case;to 2nd line;
656;assign case to cm;;VO;assign;case;to cm;
814;assign case to ssv agent;;VO;assign;case;to ssv agent;
84;assign ciboodle case to postlogger;;VO;assign;ciboodle case;to postlogger;
814;assign ciboodle case to postlogger;;VO;assign;ciboodle case;to postlogger;
273;assign ctns to prepaid sims;;VO;assign;ctns;to prepaid sims;
721;assign ctns to prepaid sims;;VO;assign;ctns;to prepaid sims;
326;assign ctns to selected offer;;VO;assign;ctns;;
549;assign dev resource;;VO;assign;dev resource;;
87;assign feasibility study to promo implementation team;;VO;assign;feasibility study;to promo implementation team;
37;assign msisdns to prepaid sims;;VO;assign;msisdns;to prepaid sims;
14;assign numbers to customer pool;;VO;assign;numbers;to customer pool;
91;assign products and services to users;;VO;assign;products and services;;
91;assign products and services to users;;VO;assign;products and services;to users;
91;assign profiles to seats;;VO;assign;profiles;to seats;
91;assign profiles to seats;;VO;assign;profiles;to seats;
351;assign ticket;;VO;assign;ticket;;
635;assign ticket to formula;;VO;assign;ticket;to formula;
97;assign to ecs nm;;VO;assign;;to ecs nm;
68;assign vf resources;;VO;assign;vf resources;;
35;assign vf resources nrs to customer pool;;VO;assign;vf resources nrs;to customer pool;
39;assign vf resources nrs to customer pool;;VO;assign;vf resources nrs;to customer pool;
257;assign vf resources nrs to customer pool;;VO;assign;vf resources nrs;to customer pool;
398;assign vf resources nrs to customer pool;;VO;assign;vf resources nrs;to customer pool;
292;assignment of partner agreement via backoffice;;AN_OF;assign;partner agreement;via backoffice;
292;assignment of partner agreement via ss;;AN_OF;assign;partner agreement;via ss;
2;assist customer;;VO;assist;customer;;
995;associate planning to crm;;VO;associate;planning;to crm;
429;atg auto logout;;AN;logout;atg auto;;
88;audit supplier;;VO;audit;supplier;;
282;authendicate contact;;VO;authenticate;contact;;
221;authenticate customer;;VO;authenticate;customer;;
613;authenticate customer;;VO;authenticate;customer;;
616;authenticate customer;;VO;authenticate;customer;;
76;authenticate delivery address;;VO;authenticate;delivery address;;
64;authenticate user;;VO;authenticate;user;;
243;authenticate user;;VO;authenticate;user;;
243;authenticate user;;VO;authenticate;user;;
84;authentication by phone;;AN;authenticate;;by phone;
54;authorisation check;;AN;check;authorisation;;
828;;;;;;;
282;authorize contact;;VO;authorize;contact;;
529;authorize direct debit;;VO;authorize;direct debit;;
961;authorize purchase order;;VO;authorize;purchase order;;
64;authorize user;;VO;authorize;user;;
669;automated: inform tsm;;VO;automate;;;
726;automatic fulfilment;;AN;fulfill;automatically;;
223;availability management;;AN;manage;availability;;
26;back to development stage 4;;VO;back;;;
75;;;;;;;
675;backup bar process;;VO;backup;bar process;;
684;backup bar process;;VO;backup;bar process;;
511;bda : bill day arrives;;AN;arrive;bill day;;
865;bill 3817153;;VO;bill;3817153;;
962;bill and collect;;VO;bill and collect;;;
292;bill collection problem handling;;VO;bill;collection problem handling;;
789;bill consumer customer;;VO;bill;consumer customer;;
292;bill corporate;;VO;bill;corporate;;
346;bill corporate;;VO;bill;corporate;;
5;bill customer;;VO;bill;customer;;
163;bill m2m;;VO;bill;m2m;;
229;bill m2m;;VO;bill;m2m;;
518;bill maf;;VO;bill;maf;;
521;bill maf;;VO;bill;maf;;
346;bill mass market;;VO;bill;mass market;;
734;bill preparation;;AN;prepare;bill;;
234;bill project;;VO;bill;project;;
867;bill reseller;;VO;bill;reseller;;
949;bill reseller;;VO;bill;reseller;;
292;bill sales engineering project;;VO;bill;sales engineering project;;
334;bill sales engineering project;;VO;bill;sales engineering project;;
233;bill site survey;;VO;bill;site survey;;
292;bill site survey;;VO;bill;site survey;;
789;;;;;;;
292;bill sold hardware;;VO;bill;sold hardware;;
