M_ID;M_CODE;Label;Split;Checked;Style;Action;Action Mod;Business Object;VP;Tags;PARSE
466;1Tr_gkss;accrual / deferral;;x;AN_NP;accrue, defer;;interest;false;;(ROOT (NP (NNP accrual) (NNP \/) (NNP deferral)))
470;1Tr_gn7l;accrual / deferral;;x;AN_NP;accrue, defer;;interest;false;;(ROOT (NP (NNP accrual) (NNP \/) (NNP deferral)))
473;1Tr_gppj;accrual / deferral;;x;AN_NP;accrue, defer;;interest;false;;(ROOT (NP (NNP accrual) (NNP \/) (NNP deferral)))
175;1Ex_eugx;accrual / deferral posting;;x;AN_NP;post;;accrual, deferral;false;;(ROOT (S (NP (NN accrual) (NNS \/)) (VP (VBP deferral) (S (VP (VBG posting))))))
142;1Ex_e6n6;acquisition of a company;;x;AN_NP;acquire;;a company;false;;(ROOT (NP (NN acquisition) (PP (IN of) (NP (DT a) (NN company)))))
42;1An_lc1c;acquisition of leased asset;;;AN_OF;acquire;;leased asset;false;;(ROOT (NP (NN acquisition) (PP (IN of) (NP (VBN leased) (NN asset)))))
487;1Un_jzgs;creating versions;;;AN_ING;create;;versions;true;;(ROOT (S (VP (VBG creating) (NP (NNS versions)))))
332;1Pr_3nuo;creating / processing production order;;;AN_ING;create, process;;production order;true;;(ROOT (S (VP (VBG creating) (NP (JJ \/) (NN processing) (NN production) (NN order)))))
371;1Pr_dgrn;activity allocation;;;AN_NP;allocate;;activity;false;;(ROOT (NP (NN activity) (NN allocation)))
123;1Er_ixso;activity allocation reposting;;;AN_NP;repost;;activity allocation;false;;(ROOT (FRAG (NP (NN activity) (NN allocation)) (S (VP (VBG reposting)))))
371;1Pr_dgrn;activity confirmation;;;AN_NP;confirm;;activity;false;;(ROOT (NP (NN activity) (NN confirmation)))
404;1Pr_rkx-;activity confirmation;;;AN_NP;confirm;;activity;false;;(ROOT (NP (NN activity) (NN confirmation)))
113;1Er_hhi9;activity type planning;;;AN_NP;plan;;activity type;false;;(ROOT (NP (NN activity) (NN type) (NN planning)))
480;1Un_jh6h;activity type planning;;;AN_NP;plan;;activity type;false;;(ROOT (NP (NN activity) (NN type) (NN planning)))
116;1Er_i6yw;actual allocation of cost center costs to profitability analysis;;;AN_NP;allocate;;actuals;false;;(ROOT (NP (JJ actual) (NN allocation) (PP (IN of) (NP (NN cost) (NN center) (NNS costs))) (PP (TO to) (NP (NN profitability) (NN analysis)))))
116;1Er_i6yw;actual allocation of process costs to profitability analysis;;;AN_NP;allocate;;actuals;false;;(ROOT (NP (JJ actual) (NN allocation) (PP (IN of) (NP (NN process) (NNS costs))) (PP (TO to) (NP (NN profitability) (NN analysis)))))
115;1Er_hsto;actual cost assessment;;;AN_NP;assess;;actual costs;false;;(ROOT (FRAG (NP (JJ actual) (NN cost) (NN assessment))))
115;1Er_hsto;actual cost distribution;;;AN_NP;distribute;;actual cost;false;;(ROOT (FRAG (NP (JJ actual) (NN cost) (NN distribution))))
121;1Er_iqc9;actual cost distribution - product costs;;;AN_NP;distribute;;actual costs;false;;(ROOT (NP (JJ actual) (NN cost) (NN distribution) (: -) (NN product) (NNS costs)))
125;1Er_j5sl;actual data transfers on profit center;;;AN_NP;transfer;;actual data;false;;(ROOT (NP (JJ actual) (NNS data) (NNS transfers) (PP (IN on) (NP (NN profit) (NN center)))))
372;1Pr_diw6;actual date entry;;;AN_NP;enter;;actual date;false;;(ROOT (FRAG (NP (JJ actual) (NN date) (NN entry))))
404;1Pr_rkx-;actual date entry;;;AN_NP;enter;;actual date;false;;(ROOT (FRAG (NP (JJ actual) (NN date) (NN entry))))
115;1Er_hsto;actual indirect activity allocation ( indirect entry );;;AN_NP;allocate;;actual indirect activity;false;;(ROOT (NP (JJ actual) (JJ indirect) (NN activity) (NN allocation) (PRN (-LRB- -LRB-) (NP (JJ indirect) (NN entry)) (-RRB- -RRB-))))
115;1Er_hsto;actual indirect activity allocation ( manual entry );;;AN_NP;allocate;;actual indirect activity;false;;(ROOT (NP (JJ actual) (JJ indirect) (NN activity) (NN allocation) (PRN (-LRB- -LRB-) (NP (JJ manual) (NN entry)) (-RRB- -RRB-))))
115;1Er_hsto;actual interest calculation for order;;;AN_NP;calculate;;actual interest;false;;(ROOT (NP (JJ actual) (NN interest) (NN calculation) (PP (IN for) (NP (NN order)))))
362;1Pr_d6dk;actual overhead costing;;;AN_NP;cost;;actual overhead;false;;(ROOT (NP (JJ actual) (NN overhead) (NNS costing)))
115;1Er_hsto;actual periodic reposting;;;AN_NP;repost;periodic;actual;false;;(ROOT (FRAG (NP (JJ actual) (JJ periodic) (NN reposting))))
362;1Pr_d6dk;actual periodic reposting;;;AN_NP;repost;periodic;actual;false;;(ROOT (FRAG (NP (JJ actual) (JJ periodic) (NN reposting))))
149;1Ex_eal7;actual posting;;;AN_NP;post;;actual;false;;(ROOT (NP (JJ actual) (NNS posting)))
115;1Er_hsto;actual price calculation;;;AN_NP;calculate;;actual price;false;;(ROOT (FRAG (NP (JJ actual) (NN price) (NN calculation))))
362;1Pr_d6dk;actual process cost allocation;;;AN_NP;distribute;;actual process costs;false;;(ROOT (NP (JJ actual) (NN process) (NN cost) (NNS allocation)))
117;1Er_i9qm;actual profit center assessment;;;AN_NP;assess;;actual profit center;false;;(ROOT (NP (JJ actual) (NN profit) (NN center) (NNS assessment)))
362;1Pr_d6dk;actual results analysis;;;AN_NP;analyse;;actual results;false;;(ROOT (NP (JJ actual) (NNS results) (NN analysis)))
362;1Pr_d6dk;actual settlement;;;AN_NP;settle;;actual;false;;(ROOT (NP (JJ actual) (NN settlement)))
116;1Er_i6yw;actual top-down distribution;;;AN_NP;distribute;top-down;actual;false;;(ROOT (FRAG (NP (JJ actual) (JJ top-down) (NN distribution))))
125;1Er_j5sl;actual transfer of additional balance sheet items to ec-pca;;;AN_OF;transfer;;actual;false;;(ROOT (NP (JJ actual) (NN transfer) (PP (IN of) (NP (JJ additional) (NN balance) (NN sheet) (NNS items))) (PP (TO to) (NP (NN ec-pca)))))
489;1Un_k30q;additional financial data transfer by flexible upload;;;AN_NP;transfer;;additional financial data;false;;(ROOT (NP (JJ additional) (JJ financial) (NNS data) (NN transfer) (PP (IN by) (NP (JJ flexible) (NN upload)))))
489;1Un_k30q;additional financial data transfer by online entry;;;AN_NP;transfer;;additional financial data;false;;(ROOT (NP (JJ additional) (JJ financial) (NNS data) (NN transfer) (PP (IN by) (NP (JJ online) (NN entry)))))
576;1Ve_m3da;adjustment of payroll specifications;;;AN_OF;adjust;;payroll specifications;false;;(ROOT (NP (NN adjustment) (PP (IN of) (NP (NN payroll) (NNS specifications)))))
490;1Un_k54y;administration of authorizations;;;AN_OF;administrate;;authorizations;false;;(ROOT (NP (NN administration) (PP (IN of) (NP (NNS authorizations)))))
43;1Ar_m7re;administration of benefits plan participation;;;AN_OF;administrate;;benefits plan participation;false;;(ROOT (NP (NN administration) (PP (IN of) (NP (NNS benefits))) (NN plan) (NN participation)))
426;1Re_n1pd;advance payment;;;NA;;;advance payment;false;;(ROOT (NP (NN advance) (NN payment)))
128;1Ex_dxa3;determining budget carryforward;;;AN_ING;determine;;budget carryforward;true;;(ROOT (S (VP (VBG determining) (NP (NN budget) (NN carryforward)))))
96;1En_cq52;agent;;;NA;;;agent;false;;(ROOT (NP (NN agent)))
100;1En_cqx0;agent processing;;;AN_NP;process;;agent;false;;(ROOT (NP (NN agent) (NN processing)))
599;1Ve_mzcb;allocation and reposting of business event costs;;;AN_OF;allocate, repost;;of business event costs;false;;(ROOT (NP (NN allocation) (CC and) (NN reposting) (PP (IN of) (NP (NN business) (NN event) (NNS costs)))))
118;1Er_icx1;allocation of follow-up costs to semifinished and finished products;;;AN_OF;allocate;;follow-up costs;false;;(ROOT (NP (NN allocation) (PP (IN of) (NP (NN follow-up) (NNS costs))) (PP (TO to) (NP (JJ semifinished) (CC and) (JJ finished) (NNS products)))))
10;1An_kjdg;analysis;;;AN_NP;analyse;;;false;;(ROOT (NP (NN analysis)))
15;1An_kmmd;analysis;;;AN_NP;analyse;;;false;;(ROOT (NP (NN analysis)))
22;1An_kynn;analysis;;;AN_NP;analyse;;;false;;(ROOT (NP (NN analysis)))
397;1Pr_kj--;analysis of competition;;;AN_OF;analyse;;competition;false;;(ROOT (NP (NN analysis) (PP (IN of) (NP (NN competition)))))
115;1Er_hsto;analysis of overhead orders;;;AN_OF;analyse;;overhead orders;false;;(ROOT (NP (NN analysis) (PP (IN of) (NP (JJ overhead) (NNS orders)))))
110;1Er_h5oa;analysis of results and contribution margins;;;AN_OF;analyse;;results margin, contribution margin;false;;(ROOT (NP (NN analysis) (PP (IN of) (NP (NNS results) (CC and) (NN contribution) (NNS margins)))))
116;1Er_i6yw;analysis of results and contribution margins;;;AN_OF;analyse;;results margin, contribution margin;false;;(ROOT (NP (NN analysis) (PP (IN of) (NP (NNS results) (CC and) (NN contribution) (NNS margins)))))
477;1Un_j86j;analysis of results and contribution margins;;;AN_OF;analyse;;results, contribution margins;false;;(ROOT (NP (NN analysis) (PP (IN of) (NP (NNS results) (CC and) (NN contribution) (NNS margins)))))
88;1Be_8uyu;annual inventory wm;;;NA;;;annual inventory wm;false;;(ROOT (NP (JJ annual) (NN inventory) (NNS wm)))
95;1En_cpo4;answering questionnaires;;;AN_ING;answer;;questionnaires;false;;(ROOT (NP (NN answering) (NNS questionnaires)))
272;1Pe_lsz3;applicant pool administration;;;AN_NP;administrate;;applicant pool;false;;(ROOT (NP (NN applicant) (NN pool) (NN administration)))
277;1Pe_lv0n;applicant pool administration;;;AN_NP;administrate;;applicant pool;false;;(ROOT (NP (NN applicant) (NN pool) (NN administration)))
5;1An_kfye;application for investment support;;;AN_NP;apply;;;false;;(ROOT (NP (NN application) (PP (IN for) (NP (NN investment) (NN support)))))
274;1Pe_ltrk;application retraction confirmation;;;AN_NP;confirm;;application retraction;false;;(ROOT (NP (NN application) (NN retraction) (NN confirmation)))
272;1Pe_lsz3;application retraction processing;;;AN_NP;process;;application retraction;false;;(ROOT (NP (NN application) (NN retraction) (NN processing)))
274;1Pe_ltrk;application retraction processing;;;AN_NP;process;;application retraction;false;;(ROOT (NP (NN application) (NN retraction) (NN processing)))
182;1Im_lcn5;application / rental request processing;;;AN_NP;process;;application, rental request;false;;(ROOT (NP (NN application) (NNS \/) (JJ rental) (NN request) (NN processing)))
95;1En_cpo4;determining protocol proposal lists;;;AN_ING;determine;;protocol proposal lists;true;;(ROOT (S (VP (VBG determining) (NP (NN protocol) (NN proposal) (NNS lists)))))
489;1Un_k30q;apportionment ( consolidation );;;AN_NP;apportion;;;false;;(ROOT (NP (NN apportionment) (PRN (-LRB- -LRB-) (NP (NN consolidation)) (-RRB- -RRB-))))
599;1Ve_mzcb;appraisal of business event;;;AN_OF;appraise;;business event;false;;(ROOT (NP (NN appraisal) (PP (IN of) (NP (NN business) (NN event)))))
599;1Ve_mzcb;appraisal of business event attendees;;;AN_OF;appraise;;business event attendees;false;;(ROOT (NP (NN appraisal) (PP (IN of) (NP (NN business) (NN event) (NNS attendees)))))
15;1An_kmmd;appropriation request;;;NA;;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request)))
22;1An_kynn;appropriation request [ investment orders ];;;AN_NP;;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request) (JJ -LSB-) (NN investment) (NNS orders) (NNP -RSB-)))
16;1An_kmy0;appropriation request approval;;;AN_NP;approve;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request) (NN approval)))
23;1An_kyxa;appropriation request approval;;;AN_NP;approve;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request) (NN approval)))
16;1An_kmy0;appropriation request planning;;;AN_NP;plan;;appropriation request;false;;(ROOT (S (NP (NN appropriation)) (VP (NN request) (S (VP (VBG planning))))))
23;1An_kyxa;appropriation request planning;;;AN_NP;plan;;appropriation request;false;;(ROOT (S (NP (NN appropriation)) (VP (NN request) (S (VP (VBG planning))))))
16;1An_kmy0;appropriation request processing;;;AN_NP;process;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request) (NN processing)))
23;1An_kyxa;appropriation request processing;;;AN_NP;process;;appropriation request;false;;(ROOT (NP (NN appropriation) (NN request) (NN processing)))
581;1Ve_m4hd;approval of budget plan;;;AN_OF;approve;;budget plan;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NN budget) (NN plan)))))
577;1Ve_m3i8;approval of compensation plan;;;AN_OF;approve;;compensation plan;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NN compensation) (NN plan)))))
590;1Ve_m75y;approval of grant plan;;;AN_OF;approve;;grant plan;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NN grant) (NN plan)))))
289;1Pe_m1rw;approval of personnel appraisal;;;AN_OF;approve;;personnel appraisal;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (JJ personnel) (NN appraisal)))))
266;1Or_lpud;approval of personnel change plan;;;AN_OF;approve;;personnel change plan;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (JJ personnel) (NN change) (NN plan)))))
267;1Or_lqhg;approval of results of personnel staff planning;;;AN_OF;approve;;results;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NNS results))) (PP (IN of) (NP (JJ personnel) (NN staff) (NN planning)))))
426;1Re_n1pd;approval of travel request;;;AN_OF;approve;;travel request;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NN travel) (NN request)))))
426;1Re_n1pd;approval of trip facts;;;AN_OF;approve;;trip facts;false;;(ROOT (NP (NN approval) (PP (IN of) (NP (NN trip) (NNS facts)))))
484;1Un_jxpf;aspect;;;NA;;;aspect;false;;(ROOT (NP (NN aspect)))
495;1Un_k964;aspect;;;NA;;;aspect;false;;(ROOT (NP (NN aspect)))
151;1Ex_ebbl;assessment;;;AN_NP;assess;;;false;;(ROOT (NP (NN assessment)))
0;1An_ka9y;asset maintenance;;;AN_NP;maintain;;asset;false;;(ROOT (NP (NN asset) (NN maintenance)))
35;1An_l7u8;asset maintenance;;;AN_NP;maintain;;asset;false;;(ROOT (NP (NN asset) (NN maintenance)))
1;1An_kazo;asset master record change;;;AN_NP;change;;asset master record;false;;(ROOT (FRAG (NP (NN asset) (NN master) (NN record) (NN change))))
36;1An_l89b;asset master record change;;;AN_NP;change;;asset master record;false;;(ROOT (FRAG (NP (NN asset) (NN master) (NN record) (NN change))))
1;1An_kazo;asset shutdown;;;AN_NP;shut down;;asset;false;;(ROOT (NP (NN asset) (NN shutdown)))
124;1Er_j49j;automatic additional transfer into profitability analysis;;;AN_NP;transfer;automatic, additional;;false;;(ROOT (FRAG (NP (JJ automatic) (JJ additional) (NN transfer)) (PP (IN into) (NP (NN profitability) (NN analysis)))))
131;1Ex_dzq9;automatic budget processing;;;AN_NP;process;automatic;budget;false;;(ROOT (FRAG (NP (JJ automatic) (NN budget) (NN processing))))
160;1Ex_eiqj;automatic clearing;;;AN_NP;clear;automatic;;false;;(ROOT (NP (JJ automatic) (NN clearing)))
169;1Ex_eq92;automatic clearing;;;AN_NP;clear;automatic;;false;;(ROOT (NP (JJ automatic) (NN clearing)))
179;1Ex_exvr;automatic clearing;;;AN_NP;clear;automatic;;false;;(ROOT (NP (JJ automatic) (NN clearing)))
361;1Pr_d4fv;automatic cost forecast;;;AN_NP;forecast;automatic;cost;false;;(ROOT (S (NP (JJ automatic) (NN cost)) (VP (VBD forecast))))
159;1Ex_eifk;automatic dunning;;;AN_NP;dun;automatic;;false;;(ROOT (NP (JJ automatic) (NN dunning)))
452;1Tr_gabg;automatic fixing processing;;;AN_NP;process;automatic;fixing;false;;(ROOT (FRAG (ADJP (JJ automatic)) (S (VP (VBG fixing) (NP (NN processing))))))
435;1Tr_f7g6;automatic incoming payment posting;;;AN_NP;post;automatic;incoming payment;false;;(ROOT (FRAG (NP (JJ automatic) (JJ incoming) (NN payment)) (S (VP (VBG posting)))))
162;1Ex_ek3t;automatic incoming payments;;;NA;;automatic;incoming payments;false;;(ROOT (NP (JJ automatic) (NN incoming) (NNS payments)))
171;1Ex_eqw8;automatic outgoing payments;;;NA;;automatic;outgoing payments;false;;(ROOT (NP (JJ automatic) (NN outgoing) (NNS payments)))
349;1Pr_aag-;automatic sending of pdm objects;;;AN_OF;send;automatic;pdm objects;false;;(ROOT (FRAG (ADJP (JJ automatic)) (S (VP (VBG sending) (PP (IN of) (NP (NN pdm) (NNS objects)))))))
531;1Ve_6294;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
537;1Ve_6lp9;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
553;1Ve_7c1w;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
559;1Ve_7rr4;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
563;1Ve_7uuo;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
569;1Ve_8a7d;backorder processing;;;AN_NP;process;;backorder;false;;(ROOT (NP (NN backorder) (NN processing)))
163;1Ex_elth;balance analysis;;;AN_NP;analyse;;balance;false;;(ROOT (NP (NN balance) (NN analysis)))
180;1Ex_ey8p;balance analysis;;;AN_NP;analyse;;balance;false;;(ROOT (NP (NN balance) (NN analysis)))
172;1Ex_erws;balance analysis;;;AN_NP;analyse;;balance;false;;(ROOT (NP (NN balance) (NN analysis)))
489;1Un_k30q;balance carried forward ( consolidation );;;PS;carry forward;;balance;false;;(ROOT (S (NP (NN balance)) (VP (VBD carried) (ADVP (RB forward)) (PRN (-LRB- -LRB-) (VB consolidation) (-RRB- -RRB-)))))
151;1Ex_ebbl;balance carried forward [ sl - special ledger ];;;PS;carry forward;;balance;false;;(ROOT (NP (NP-TMP (NP (NN balance)) (VP (VBD carried) (PRT (RP forward)) (NP (JJ -LSB-) (NN sl)))) (: -) (JJ special) (NN ledger) (NNP -RSB-)))
103;1En_csa4;filling dangerous goods master from substance database;;;AN_ING;fill;;dangerous goods master;true;;(ROOT (S (VP (VBG filling) (NP (JJ dangerous) (NNS goods) (NN master)) (PP (IN from) (NP (NN substance) (NN database))))))
384;1Pr_ds05;planning work in internal activities and activity elements;;;AN_ING;plan;;work;true;;(ROOT (S (VP (VBG planning) (NP (NN work)) (PP (IN in) (NP (JJ internal) (NNS activities) (CC and) (NN activity) (NNS elements))))))
435;1Tr_f7g6;bank statement postprocessing;;;AN_NP;postprocess;;bank statement;false;;(ROOT (FRAG (NP (NN bank) (NN statement)) (S (VP (VBG postprocessing)))))
500;1Ve_4gw1;basic data;;;NA;;;basic data;false;;(ROOT (NP (JJ basic) (NNS data)))
505;1Ve_4mai;basic data processing for legal controls;;;AN_NP;process;;basic data;false;;(ROOT (NP (JJ basic) (NNS data) (NN processing) (PP (IN for) (NP (JJ legal) (NNS controls)))))
484;1Un_jxpf;basic key figures;;;NA;;;basic key figures;false;;(ROOT (NP (JJ basic) (NN key) (NNS figures)))
495;1Un_k964;basic key figures;;;NA;;;basic key figures;false;;(ROOT (NP (JJ basic) (NN key) (NNS figures)))
482;1Un_juwn;basic settings;;;NA;;;basic settings;false;;(ROOT (NP (JJ basic) (NNS settings)))
492;1Un_k6b1;basic settings;;;NA;;;basic settings;false;;(ROOT (NP (JJ basic) (NNS settings)))
340;1Pr_46ft;batch record archiving;;;AN_NP;archive;;batch record;false;;(ROOT (FRAG (NP (NN batch) (NN record)) (S (VP (VBG archiving)))))
43;1Ar_m7re;benefits selection;;;AN_NP;select;;benefits;false;;(ROOT (NP (NNS benefits) (NN selection)))
165;1Ex_eoxo;bill of exchange payable;;;NA;;;bill of exchange payable;false;;(ROOT (S (NP (NN bill) (PP (IN of) (NP (NN exchange)))) (ADJP (JJ payable))))
170;1Ex_eqm0;bill of exchange payable;;;NA;;;bill of exchange payable;false;;(ROOT (S (NP (NN bill) (PP (IN of) (NP (NN exchange)))) (ADJP (JJ payable))))
161;1Ex_ej4e;bill of exchange payment request;;;AN_NP;;;bill of exchange payment request;false;;(ROOT (NP (NN bill) (PP (IN of) (NP (NN exchange) (NN payment) (NN request)))))
435;1Tr_f7g6;bill of exchange presentation ( debit );;;AN_NP;present;;bill of exchange;false;;(ROOT (NP (NN bill) (PP (IN of) (NP (NN exchange) (NN presentation) (PRN (-LRB- -LRB-) (NP (NN debit)) (-RRB- -RRB-))))))
155;1Ex_egln;bill of exchange receivable;;;NA;;;bill of exchange payable;false;;(ROOT (S (NP (NN bill) (PP (IN of) (NP (NN exchange)))) (ADJP (JJ receivable))))
161;1Ex_ej4e;bill of exchange reversal;;;AN_NP;reverse;;bill of exchange;false;;(ROOT (NP (NN bill) (PP (IN of) (NP (NN exchange) (NN reversal)))))
161;1Ex_ej4e;bill of exchange usage;;;AN_NP;use;;bill of exchange;false;;(ROOT (NP (NN bill) (PP (IN of) (NP (NN exchange) (NN usage)))))
225;1Ku_903f;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
238;1Ku_9mgu;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
251;1Ku_a6af;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
358;1Pr_d1ur;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
509;1Ve_4q66;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
515;1Ve_52tx;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
520;1Ve_5dvr;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
525;1Ve_5otm;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
531;1Ve_6294;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
540;1Ve_6mxu;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
548;1Ve_710u;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
553;1Ve_7c1w;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
563;1Ve_7uuo;billing;;;AN_NP;bill;;;false;;(ROOT (NP (NN billing)))
128;1Ex_dxa3;preparing budget carryforward;;;AN_ING;prepare;;budget carryforward;true;;(ROOT (S (VP (VBG preparing) (NP (NN budget) (NN carryforward)))))
128;1Ex_dxa3;preparing fiscal year change operations;;;AN_ING;prepare;;fiscal year change operations;true;;(ROOT (S (VP (VBG preparing) (NP (JJ fiscal) (NN year) (NN change) (NNS operations)))))
527;1Ve_5tcy;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
533;1Ve_68lb;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
542;1Ve_6s89;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
550;1Ve_7647;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
555;1Ve_7if9;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
565;1Ve_80w9;processing billing documents;;;AN_ING;process;;billing documents;true;;(ROOT (S (VP (VBG processing) (NP (NN billing) (NNS documents)))))
275;1Pe_lu4d;processing offer of work contract;;;AN_ING;process;;processing;true;;(ROOT (S (VP (VBG processing) (NP (NN offer) (PP (IN of) (NP (NN work) (NN contract)))))))
522;1Ve_5i83;billing document for free-of charge delivery;;;NA;;;billing document;false;;(ROOT (NP (NN billing) (NN document) (PP (IN for) (NP (JJ free-of) (NN charge) (NN delivery)))))
224;1Ku_8y3g;billing processing for service contract;;;AN_NP;process;;billing;false;;(ROOT (NP (NN billing) (NN processing) (PP (IN for) (NP (NN service) (NN contract)))))
368;1Pr_dcqc;processing purchase requisitions for projects;;;AN_ING;process;;purchase requisitions for projects;true;;(ROOT (S (VP (VBG processing) (NP (NN purchase) (NNS requisitions)) (PP (IN for) (NP (NNS projects))))))
