;Label;Split;Style;Action;Business Object;Tags
12;21 order intake and planning;[u'21', u'order', u'intake', u'and', u'planning'];AN;intake, plan;21 order;21<>START_INT, order<>ANO, intake<>ANV, and<>AND-AN, planning<>ANV, 
13;21 order intake and planning;[u'21', u'order', u'intake', u'and', u'planning'];AN;intake, plan;21 order;21<>START_INT, order<>ANO, intake<>ANV, and<>AND-AN, planning<>ANV, 
14;21 order intake and planning;[u'21', u'order', u'intake', u'and', u'planning'];AN;intake, plan;21 order;21<>START_INT, order<>ANO, intake<>ANV, and<>AND-AN, planning<>ANV, 
15;21 order intake and planning;[u'21', u'order', u'intake', u'and', u'planning'];AN;intake, plan;21 order;21<>START_INT, order<>ANO, intake<>ANV, and<>AND-AN, planning<>ANV, 
16;22 customer setup and configuration;[u'22', u'customer', u'setup', u'and', u'configuration'];AN;setup, configure;22 customer;22<>START_INT, customer<>ANO, setup<>ANV, and<>AND-AN, configuration<>ANV, 
17;22 customer setup and configuration;[u'22', u'customer', u'setup', u'and', u'configuration'];AN;setup, configure;22 customer;22<>START_INT, customer<>ANO, setup<>ANV, and<>AND-AN, configuration<>ANV, 
18;22 customer setup and configuration;[u'22', u'customer', u'setup', u'and', u'configuration'];AN;setup, configure;22 customer;22<>START_INT, customer<>ANO, setup<>ANV, and<>AND-AN, configuration<>ANV, 
19;22 customer setup and configuration;[u'22', u'customer', u'setup', u'and', u'configuration'];AN;setup, configure;22 customer;22<>START_INT, customer<>ANO, setup<>ANV, and<>AND-AN, configuration<>ANV, 
20;22 customer setup and configuration;[u'22', u'customer', u'setup', u'and', u'configuration'];AN;setup, configure;22 customer;22<>START_INT, customer<>ANO, setup<>ANV, and<>AND-AN, configuration<>ANV, 
21;23 connectivity / access fulfillment;[u'23', u'connectivity', u'/', u'access', u'fulfillment'];AN;fulfill;connectivity / access 23ly;23<>START_INT, connectivity<>ANO, /<>ANO, access<>ANO, fulfillment<>ANV, 
22;23 connectivity / access fulfillment;[u'23', u'connectivity', u'/', u'access', u'fulfillment'];AN;fulfill;connectivity / access 23ly;23<>START_INT, connectivity<>ANO, /<>ANO, access<>ANO, fulfillment<>ANV, 
23;23 connectivity fulfillment;[u'23', u'connectivity', u'fulfillment'];AN;fulfill;connectivity 23ly;23<>START_INT, connectivity<>ANO, fulfillment<>ANV, 
24;23 connectivity fulfillment;[u'23', u'connectivity', u'fulfillment'];AN;fulfill;connectivity 23ly;23<>START_INT, connectivity<>ANO, fulfillment<>ANV, 
25;23 connectivity fulfillment;[u'23', u'connectivity', u'fulfillment'];AN;fulfill;connectivity 23ly;23<>START_INT, connectivity<>ANO, fulfillment<>ANV, 
26;24 number porting and migration;[u'24', u'number', u'porting', u'and', u'migration'];AN;port;24 number;24<>START_INT, number<>ANO, porting<>ANV, and<>AND-AN, migration<>misc-AN, 
27;24 number porting and migration;[u'24', u'number', u'porting', u'and', u'migration'];AN;port;24 number;24<>START_INT, number<>ANO, porting<>ANV, and<>AND-AN, migration<>misc-AN, 
28;24 number porting and migration;[u'24', u'number', u'porting', u'and', u'migration'];AN;port;24 number;24<>START_INT, number<>ANO, porting<>ANV, and<>AND-AN, migration<>misc-AN, 
29;24 number porting and migration;[u'24', u'number', u'porting', u'and', u'migration'];AN;port;24 number;24<>START_INT, number<>ANO, porting<>ANV, and<>AND-AN, migration<>misc-AN, 
30;24 number porting and migration;[u'24', u'number', u'porting', u'and', u'migration'];AN;port;24 number;24<>START_INT, number<>ANO, porting<>ANV, and<>AND-AN, migration<>misc-AN, 
31;25 customer approval and handover to support;[u'25', u'customer', u'approval', u'and', u'handover', u'to', u'support'];AN;approve and handover;customer;25<>START_INT, customer<>ANO, approval<>ANV, and<>ANV, handover<>ANV, to<>C-AN, support<>misc-AN, 
32;25 customer approval and handover to support;[u'25', u'customer', u'approval', u'and', u'handover', u'to', u'support'];AN;approve and handover;customer;25<>START_INT, customer<>ANO, approval<>ANV, and<>ANV, handover<>ANV, to<>C-AN, support<>misc-AN, 
33;25 customer approval and handover to support;[u'25', u'customer', u'approval', u'and', u'handover', u'to', u'support'];AN;approve and handover;customer;25<>START_INT, customer<>ANO, approval<>ANV, and<>ANV, handover<>ANV, to<>C-AN, support<>misc-AN, 
34;25 customer approval and handover to support;[u'25', u'customer', u'approval', u'and', u'handover', u'to', u'support'];AN;approve and handover;customer;25<>START_INT, customer<>ANO, approval<>ANV, and<>ANV, handover<>ANV, to<>C-AN, support<>misc-AN, 
35;25 customer approval and handover to support;[u'25', u'customer', u'approval', u'and', u'handover', u'to', u'support'];AN;approve and handover;customer;25<>START_INT, customer<>ANO, approval<>ANV, and<>ANV, handover<>ANV, to<>C-AN, support<>misc-AN, 
36;2nd line support;[u'2nd', u'line', u'support'];AN;support;2nd line;2nd<>ORDINALAN, line<>ANO, support<>ANV, 
1;2nd test cycle;[u'2nd', u'test', u'cycle'];NA;;2nd test cycle;2nd<>ORDINALNA, test<>NAO, cycle<>NAO, 
37;3rd line it support;[u'3rd', u'line', u'it', u'support'];AN;support;line it 3rdly;3rd<>ORDINALAN, line<>ANO, it<>ANO, support<>ANV, 
38;411 create test plan configuration change;[u'411', u'create', u'test', u'plan', u'configuration', u'change'];AN;change;test plan configuration;411<>START_INT, create<>misc-AN, test<>ANO, plan<>ANO, configuration<>ANO, change<>ANV, 
39;414 test configuration change;[u'414', u'test', u'configuration', u'change'];AN;change;414 test configuration;414<>START_INT, test<>ANO, configuration<>ANO, change<>ANV, 
40;422 create testscripts configuration change;[u'422', u'create', u'testscripts', u'configuration', u'change'];AN;change;testscripts configuration;422<>START_INT, create<>misc-AN, testscripts<>ANO, configuration<>ANO, change<>ANV, 
41;422 execute qa check;[u'422', u'execute', u'qa', u'check'];AN;check;422 execute qa;422<>START_INT, execute<>ANO, qa<>ANO, check<>ANV, 
42;43 customer sla management;[u'43', u'customer', u'sla', u'management'];AN;manage;customer sla 43ly;43<>START_INT, customer<>ANO, sla<>ANO, management<>ANV, 
43;43 customer sla management;[u'43', u'customer', u'sla', u'management'];AN;manage;customer sla 43ly;43<>START_INT, customer<>ANO, sla<>ANO, management<>ANV, 
44;43 customer sla management;[u'43', u'customer', u'sla', u'management'];AN;manage;customer sla 43ly;43<>START_INT, customer<>ANO, sla<>ANO, management<>ANV, 
45;43 customer sla management;[u'43', u'customer', u'sla', u'management'];AN;manage;customer sla 43ly;43<>START_INT, customer<>ANO, sla<>ANO, management<>ANV, 
46;43 customer sla management;[u'43', u'customer', u'sla', u'management'];AN;manage;customer sla 43ly;43<>START_INT, customer<>ANO, sla<>ANO, management<>ANV, 
47;4g support;[u'4g', u'support'];AN;support;4g;4g<>ANO, support<>ANV, 
48;4g support;[u'4g', u'support'];AN;support;4g;4g<>ANO, support<>ANV, 
49;51 network monitoring;[u'51', u'network', u'monitoring'];AN;monitor;network 51ly;51<>START_INT, network<>ANO, monitoring<>ANV, 
50;51 network monitoring;[u'51', u'network', u'monitoring'];AN;monitor;network 51ly;51<>START_INT, network<>ANO, monitoring<>ANV, 
51;51 network monitoring;[u'51', u'network', u'monitoring'];AN;monitor;network 51ly;51<>START_INT, network<>ANO, monitoring<>ANV, 
52;51 network monitoring;[u'51', u'network', u'monitoring'];AN;monitor;network 51ly;51<>START_INT, network<>ANO, monitoring<>ANV, 
53;51 network monitoring;[u'51', u'network', u'monitoring'];AN;monitor;network 51ly;51<>START_INT, network<>ANO, monitoring<>ANV, 
54;52 change management;[u'52', u'change', u'management'];AN;manage;change 52ly;52<>START_INT, change<>ANO, management<>ANV, 
55;52 change management;[u'52', u'change', u'management'];AN;manage;change 52ly;52<>START_INT, change<>ANO, management<>ANV, 
56;52 change management;[u'52', u'change', u'management'];AN;manage;change 52ly;52<>START_INT, change<>ANO, management<>ANV, 
57;52 change management;[u'52', u'change', u'management'];AN;manage;change 52ly;52<>START_INT, change<>ANO, management<>ANV, 
58;52 change management;[u'52', u'change', u'management'];AN;manage;change 52ly;52<>START_INT, change<>ANO, management<>ANV, 
59;53 capacity management;[u'53', u'capacity', u'management'];AN;manage;capacity 53ly;53<>START_INT, capacity<>ANO, management<>ANV, 
60;53 capacity management;[u'53', u'capacity', u'management'];AN;manage;capacity 53ly;53<>START_INT, capacity<>ANO, management<>ANV, 
61;53 capacity management;[u'53', u'capacity', u'management'];AN;manage;capacity 53ly;53<>START_INT, capacity<>ANO, management<>ANV, 
62;53 capacity management;[u'53', u'capacity', u'management'];AN;manage;capacity 53ly;53<>START_INT, capacity<>ANO, management<>ANV, 
63;53 capacity management;[u'53', u'capacity', u'management'];AN;manage;capacity 53ly;53<>START_INT, capacity<>ANO, management<>ANV, 
64;54 configuration management;[u'54', u'configuration', u'management'];AN;manage;configuration 54ly;54<>START_INT, configuration<>ANO, management<>ANV, 
65;54 configuration management;[u'54', u'configuration', u'management'];AN;manage;configuration 54ly;54<>START_INT, configuration<>ANO, management<>ANV, 
66;54 configuration management;[u'54', u'configuration', u'management'];AN;manage;configuration 54ly;54<>START_INT, configuration<>ANO, management<>ANV, 
67;54 configuration management;[u'54', u'configuration', u'management'];AN;manage;configuration 54ly;54<>START_INT, configuration<>ANO, management<>ANV, 
68;54 configuration management;[u'54', u'configuration', u'management'];AN;manage;configuration 54ly;54<>START_INT, configuration<>ANO, management<>ANV, 
69;55 security management;[u'55', u'security', u'management'];AN;manage;security 55ly;55<>START_INT, security<>ANO, management<>ANV, 
70;55 security management;[u'55', u'security', u'management'];AN;manage;security 55ly;55<>START_INT, security<>ANO, management<>ANV, 
71;55 security management;[u'55', u'security', u'management'];AN;manage;security 55ly;55<>START_INT, security<>ANO, management<>ANV, 
72;55 security management;[u'55', u'security', u'management'];AN;manage;security 55ly;55<>START_INT, security<>ANO, management<>ANV, 
73;55 security management;[u'55', u'security', u'management'];AN;manage;security 55ly;55<>START_INT, security<>ANO, management<>ANV, 
74;6 billing and collections;[u'6', u'billing', u'and', u'collections'];AN;bill;6;6<>START_INT, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
75;6 billing and collections;[u'6', u'billing', u'and', u'collections'];AN;bill;6;6<>START_INT, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
76;6 billing and collections;[u'6', u'billing', u'and', u'collections'];AN;bill;6;6<>START_INT, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
77;6 billing and collections;[u'6', u'billing', u'and', u'collections'];AN;bill;6;6<>START_INT, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
78;6 billing and collections;[u'6', u'billing', u'and', u'collections'];AN;bill;6;6<>START_INT, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
79;61 customer billing and collections;[u'61', u'customer', u'billing', u'and', u'collections'];AN;bill;61 customer;61<>START_INT, customer<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
80;61 customer billing and collections;[u'61', u'customer', u'billing', u'and', u'collections'];AN;bill;61 customer;61<>START_INT, customer<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
81;61 customer billing and collections;[u'61', u'customer', u'billing', u'and', u'collections'];AN;bill;61 customer;61<>START_INT, customer<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
82;61 customer billing and collections;[u'61', u'customer', u'billing', u'and', u'collections'];AN;bill;61 customer;61<>START_INT, customer<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
83;61 customer billing and collections;[u'61', u'customer', u'billing', u'and', u'collections'];AN;bill;61 customer;61<>START_INT, customer<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
84;62 wholesale billing and collections;[u'62', u'wholesale', u'billing', u'and', u'collections'];AN;bill;62 wholesale;62<>START_INT, wholesale<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
85;62 wholesale billing and collections;[u'62', u'wholesale', u'billing', u'and', u'collections'];AN;bill;62 wholesale;62<>START_INT, wholesale<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
86;62 wholesale billing and collections;[u'62', u'wholesale', u'billing', u'and', u'collections'];AN;bill;62 wholesale;62<>START_INT, wholesale<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
87;62 wholesale billing and collections;[u'62', u'wholesale', u'billing', u'and', u'collections'];AN;bill;62 wholesale;62<>START_INT, wholesale<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
88;62 wholesale billing and collections;[u'62', u'wholesale', u'billing', u'and', u'collections'];AN;bill;62 wholesale;62<>START_INT, wholesale<>ANO, billing<>ANV, and<>AND-AN, collections<>misc-AN, 
89;7 partner / supplier management;[u'7', u'partner', u'/', u'supplier', u'management'];AN;manage;partner / supplier 7ly;7<>START_INT, partner<>ANO, /<>ANO, supplier<>ANO, management<>ANV, 
90;7 partner / supplier management;[u'7', u'partner', u'/', u'supplier', u'management'];AN;manage;partner / supplier 7ly;7<>START_INT, partner<>ANO, /<>ANO, supplier<>ANO, management<>ANV, 
91;7 partner / supplier management;[u'7', u'partner', u'/', u'supplier', u'management'];AN;manage;partner / supplier 7ly;7<>START_INT, partner<>ANO, /<>ANO, supplier<>ANO, management<>ANV, 
92;7 partner / supplier management;[u'7', u'partner', u'/', u'supplier', u'management'];AN;manage;partner / supplier 7ly;7<>START_INT, partner<>ANO, /<>ANO, supplier<>ANO, management<>ANV, 
93;7 partner / supplier management;[u'7', u'partner', u'/', u'supplier', u'management'];AN;manage;partner / supplier 7ly;7<>START_INT, partner<>ANO, /<>ANO, supplier<>ANO, management<>ANV, 
1;absence entitlement accrual;[u'absence', u'entitlement', u'accrual'];AN_NP;accrue;absence entitlement;absence<>ANNO, entitlement<>ANNO, accrual<>ANNV, 
2;absence entitlement compensation;[u'absence', u'entitlement', u'compensation'];AN_NP;compensate;absence entitlement;absence<>ANNO, entitlement<>ANNO, compensation<>ANNV, 
2;academic committee decision;[u'academic', u'committee', u'decision'];AN;decision;academic committee;academic<>ANO, committee<>ANO, decision<>ANV, 
3;academic recognition agency verification;[u'academic', u'recognition', u'agency', u'verification'];AN;verification;academic recognition agency;academic<>ANO, recognition<>ANO, agency<>ANO, verification<>ANV, 
4;accept;[u'accept'];VO;accept;;accept<>VOV, 
94;accept and count usage;[u'accept', u'and', u'count', u'usage'];VO;accept and count;usage;accept<>VOV, and<>VOV, count<>VOV, usage<>VOO, 
95;accept and count usage;[u'accept', u'and', u'count', u'usage'];VO;accept and count;usage;accept<>VOV, and<>VOV, count<>VOV, usage<>VOO, 
96;accept and register order;[u'accept', u'and', u'register', u'order'];VO;accept and register;order;accept<>VOV, and<>VOV, register<>VOV, order<>VOO, 
5;accept bike;[u'accept', u'bike'];VO;accept;bike;accept<>VOV, bike<>VOO, 
97;accept case;[u'accept', u'case'];VO;accept;case;accept<>VOV, case<>VOO, 
98;accept case;[u'accept', u'case'];VO;accept;case;accept<>VOV, case<>VOO, 
99;accept case;[u'accept', u'case'];VO;accept;case;accept<>VOV, case<>VOO, 
100;accept case from ciboodle worklist;[u'accept', u'case', u'from', u'ciboodle', u'worklist'];VO;accept;case;accept<>VOV, case<>VOO, from<>C-VOS, ciboodle<>misc-VOS, worklist<>misc-VOS, 
101;accept case from ciboodle worklist;[u'accept', u'case', u'from', u'ciboodle', u'worklist'];VO;accept;case;accept<>VOV, case<>VOO, from<>C-VOS, ciboodle<>misc-VOS, worklist<>misc-VOS, 
102;accept ciboodle case;[u'accept', u'ciboodle', u'case'];VO;accept;ciboodle case;accept<>VOV, ciboodle<>VOO, case<>VOO, 
6;accept claim;[u'accept', u'claim'];VO;accept;claim;accept<>VOV, claim<>VOO, 
7;accept coffee;[u'accept', u'coffee'];VO;accept;coffee;accept<>VOV, coffee<>VOO, 
8;accept customer po;[u'accept', u'customer', u'po'];VO;accept;customer po;accept<>VOV, customer<>VOO, po<>VOO, 
9;accept da;[u'accept', u'da'];VO;accept;da;accept<>VOV, da<>VOO, 
10;accept date;[u'accept', u'date'];VO;accept;date;accept<>VOV, date<>VOO, 
11;accept date for meeting;[u'accept', u'date', u'for', u'meeting'];VO;accept;date for meeting;accept<>VOV, date<>VOO, for<>VOO, meeting<>VOO, 
12;accept hold;[u'accept', u'hold'];VO;accept;hold;accept<>VOV, hold<>VOO, 
13;accept insurance;[u'accept', u'insurance'];VO;accept;insurance;accept<>VOV, insurance<>VOO, 
14;accept lo;[u'accept', u'lo'];VO;accept;lo;accept<>VOV, lo<>VOO, 
103;accept m2m solutions;[u'accept', u'm2m', u'solutions'];VO;accept;m2m solutions;accept<>VOV, m2m<>VOO, solutions<>VOO, 
15;accept or reject claim;[u'accept', u'or', u'reject', u'claim'];VO;accept reject;claim;accept<>VOV, or<>C-VOS, reject<>VOV, claim<>VOO, 
16;accept order;[u'accept', u'order'];VO;accept;order;accept<>VOV, order<>VOO, 
104;accept order;[u'accept', u'order'];VO;accept;order;accept<>VOV, order<>VOO, 
105;accept order and start project;[u'accept', u'order', u'and', u'start', u'project'];VO;accept;order and start project;accept<>VOV, order<>VOO, and<>VOO, start<>VOO, project<>VOO, 
106;accept order and start project;[u'accept', u'order', u'and', u'start', u'project'];VO;accept;order and start project;accept<>VOV, order<>VOO, and<>VOO, start<>VOO, project<>VOO, 
17;accept payment;[u'accept', u'payment'];VO;accept;payment;accept<>VOV, payment<>VOO, 
18;accept payments and generate invoice;[u'accept', u'payments', u'and', u'generate', u'invoice'];VO;accept generate;payments / invoice;accept<>VOV, payments<>VOO, and<>AND-VOS, generate<>VOV, invoice<>VOO, 
19;accept project;[u'accept', u'project'];VO;accept;project;accept<>VOV, project<>VOO, 
107;accept result;[u'accept', u'result'];VO;accept;result;accept<>VOV, result<>VOO, 
108;accept solution in ticket;[u'accept', u'solution', u'in', u'ticket'];VO;accept;solution;accept<>VOV, solution<>VOO, in<>C-VOS, ticket<>misc-VOS, 
109;accept solution in ticket;[u'accept', u'solution', u'in', u'ticket'];VO;accept;solution;accept<>VOV, solution<>VOO, in<>C-VOS, ticket<>misc-VOS, 
20;accept terms and conditions and create account;[u'accept', u'terms', u'and', u'conditions', u'and', u'create', u'account'];VO;accept create;terms / conditions / account;accept<>VOV, terms<>VOO, and<>AND-VOS, conditions<>VOO, and<>AND-VOS, create<>VOV, account<>VOO, 
110;accept terms and conditions;[u'accept', u'terms', u'and', u'conditions'];VO;accept;terms and conditions;accept<>VOV, terms<>VOO, and<>VOO, conditions<>VOO, 
111;accept terms and conditions;[u'accept', u'terms', u'and', u'conditions'];VO;accept;terms and conditions;accept<>VOV, terms<>VOO, and<>VOO, conditions<>VOO, 
21;acceptance of marketing plan and budget;[u'acceptance', u'of', u'marketing', u'plan', u'and', u'budget'];AN;acceptance;of marketing plan and budget;acceptance<>OF_VERB-AN, of<>ANO, marketing<>ANO, plan<>ANO, and<>ANO, budget<>ANO, 
22;accepted order;[u'accepted', u'order'];DES / EVENT;order;accepted;accepted<>DESO, order<>DESV, 
23;accepting the candidate and sending the letter to charles;[u'accepting', u'the', u'candidate', u'and', u'sending', u'the', u'letter', u'to', u'charles'];AN;accepting sending;the candidate / the letter;accepting<>ANV, the<>ANO, candidate<>ANO, and<>AND-AN, sending<>ANV, the<>ANO, letter<>ANO, to<>C-AN, charles<>misc-AN, 
24;accepts application;[u'accepts', u'application'];DES / EVENT;accepts;application;accepts<>DESV, application<>DESO, 
25;accepts request;[u'accepts', u'request'];DES / EVENT;accepts;request;accepts<>DESV, request<>DESO, 
112;access capacity availability;[u'access', u'capacity', u'availability'];VO;access;capacity availability;access<>VOV, capacity<>VOO, availability<>VOO, 
113;access change;[u'access', u'change'];VO;access;change;access<>VOV, change<>VOO, 
26;access details;[u'access', u'details'];VO;access;details;access<>VOV, details<>VOO, 
27;access event page;[u'access', u'event', u'page'];VO;access;event page;access<>VOV, event<>VOO, page<>VOO, 
28;access event service;[u'access', u'event', u'service'];VO;access;event service;access<>VOV, event<>VOO, service<>VOO, 
29;access flight centre website;[u'access', u'flight', u'centre', u'website'];VO;access;flight centre website;access<>VOV, flight<>VOO, centre<>VOO, website<>VOO, 
114;access for agents;[u'access', u'for', u'agents'];VO;access;;access<>VOV, for<>C-VOS, agents<>misc-VOS, 
30;access shopping cart;[u'access', u'shopping', u'cart'];VO;access;shopping cart;access<>VOV, shopping<>VOO, cart<>VOO, 
115;access to switchboard software;[u'access', u'to', u'switchboard', u'software'];VO;access;;access<>VOV, to<>C-VOS, switchboard<>misc-VOS, software<>misc-VOS, 
31;accident occurs;[u'accident', u'occurs'];DES / EVENT;occurs;accident;accident<>DESO, occurs<>DESV, 
3;accident;[u'accident'];NA;;accident;accident<>NAO, 
301;account analysis [ a/r ];[u'account', u'analysis', u'[', u'a/r', u']'];AN_NP;analyse;account;account<>ANNO, analysis<>ANNV, [<>ADAN, a/r<>misc-AN, ]<>ADAN, 
303;account assignment for settlement [ investment project ];[u'account', u'assignment', u'for', u'settlement', u'[', u'investment', u'project', u']'];AN_NP;assign;account;account<>ANNO, assignment<>ANNV, for<>C-AN, settlement<>misc-AN, [<>ADAN, investment<>misc-AN, project<>misc-AN, ]<>ADAN, 
6;account balance interest calculation ( g/l );[u'account', u'balance', u'interest', u'calculation', u'(', u'g/l', u')'];AN_NP;calculate;account balance interest;account<>ANNO, balance<>ANNO, interest<>ANNO, calculation<>ANNV, (<>ADAN, g/l<>misc-AN, )<>ADAN, 
7;account balance interest calculation for general ledger;[u'account', u'balance', u'interest', u'calculation', u'for', u'general', u'ledger'];AN_NP;calculate;account balance interest;account<>ANNO, balance<>ANNO, interest<>ANNO, calculation<>ANNV, for<>C-AN, general<>misc-AN, ledger<>misc-AN, 
304;account clearing [ ap ];[u'account', u'clearing', u'[', u'ap', u']'];AN_NP;clear;account;account<>ANNO, clearing<>ANNV, [<>ADAN, ap<>misc-AN, ]<>ADAN, 
306;account clearing [ ar ];[u'account', u'clearing', u'[', u'ar', u']'];AN_NP;clear;account;account<>ANNO, clearing<>ANNV, [<>ADAN, ar<>misc-AN, ]<>ADAN, 
307;account clearing [ gl ];[u'account', u'clearing', u'[', u'gl', u']'];AN_NP;clear;account;account<>ANNO, clearing<>ANNV, [<>ADAN, gl<>misc-AN, ]<>ADAN, 
11;account maintenance;[u'account', u'maintenance'];AN_NP;maintain;account;account<>ANNO, maintenance<>ANNV, 
33;account login / register;[u'account', u'login', u'/', u'register'];AN;login register;account;account<>ANO, login<>ANV, /<>misc-AN, register<>ANV, 
34;account registration request;[u'account', u'registration', u'request'];AN;request;account registration;account<>ANO, registration<>ANO, request<>ANV, 
32;account created;[u'account', u'created'];DES / EVENT;created;account;account<>DESO, created<>DESV, 
35;account request received;[u'account', u'request', u'received'];DES / EVENT;received;account request;account<>DESO, request<>DESO, received<>DESV, 
36;account successfully created and welcome screen;[u'account', u'successfully', u'created', u'and', u'welcome', u'screen'];DES / EVENT;created;account / welcome screen;account<>DESO, successfully<>misc-DES, created<>DESV, and<>AND-DES, welcome<>DESO, screen<>DESO, 
12;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
13;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
14;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
15;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
16;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
17;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
18;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
19;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
20;accounting;[u'accounting'];AN_NP;account;;accounting<>ANNV, 
37;accounting;[u'accounting'];AN;accounting;;accounting<>ANV, 
27;accrual / deferral posting;[u'accrual', u'/', u'deferral', u'posting'];AN_NP;post;accrual, deferral;accrual<>ANNO, /<>misc-AN, deferral<>ANNO, posting<>ANNV, 
21;accrual calculation in cost center accounting ( percentage method );[u'accrual', u'calculation', u'in', u'cost', u'center', u'accounting', u'(', u'percentage', u'method', u')'];AN_NP;calculate;accrual;accrual<>ANNO, calculation<>ANNV, in<>C-AN, cost<>misc-AN, center<>misc-AN, accounting<>misc-AN, (<>ADAN, percentage<>misc-AN, method<>misc-AN, )<>ADAN, 
22;accrual calculation in cost center accounting ( target = actual method );[u'accrual', u'calculation', u'in', u'cost', u'center', u'accounting', u'(', u'target', u'=', u'actual', u'method', u')'];AN_NP;calculate;accrual;accrual<>ANNO, calculation<>ANNV, in<>C-AN, cost<>misc-AN, center<>misc-AN, accounting<>misc-AN, (<>ADAN, target<>misc-AN, =<>ADAN, actual<>misc-AN, method<>misc-AN, )<>ADAN, 
23;accrual / deferral;[u'accrual', u'/', u'deferral'];AN_NP;accrue, defer;interest;accrual<>ANNV, /<>misc-AN, deferral<>ANNV, 
24;accrual / deferral;[u'accrual', u'/', u'deferral'];AN_NP;accrue, defer;interest;accrual<>ANNV, /<>misc-AN, deferral<>ANNV, 
25;accrual / deferral;[u'accrual', u'/', u'deferral'];AN_NP;accrue, defer;interest;accrual<>ANNV, /<>misc-AN, deferral<>ANNV, 
26;accrual / deferral;[u'accrual', u'/', u'deferral'];AN_NP;accrue, defer;interest;accrual<>ANNV, /<>misc-AN, deferral<>ANNV, 
38;achieve invoices per vendor;[u'achieve', u'invoices', u'per', u'vendor'];VO;achieve;invoices per vendor;achieve<>VOV, invoices<>VOO, per<>VOO, vendor<>VOO, 
39;acknowledge;[u'acknowledge'];VO;acknowledge;;acknowledge<>VOV, 
41;acknowledge and consider;[u'acknowledge', u'and', u'consider'];VO;acknowledge consider;;acknowledge<>VOV, and<>AND-VOS, consider<>VOV, 
