Label;Split;Style;Action;Business Object;Addition;Tags
allocate certifier;;VO;allocate;certifier;;
allocate eln-subscriber id;;VO;allocate;eln-subscriber id;;
allocate invoices;;VO;allocate;invoices;;
allocate invoices to data entry officer;;VO;allocate;invoices;to data entry officer;
allocate jobs to employee & start date to job;;VO;;;;
allocation run;;AN;run;allocation;;
allow to communicate to professors;;VO;allow;to communicate;to professors;
aluminum / plastic containers;;NA;containers;aluminum / plastic;;
amend baggage information;;VO;amend;baggage information;;
amortize asset;;VO;amortize;asset;;
analyse;;VO;analyse;;;
analyse business details;;VO;analyse;business details;;
analyse details of the case;;VO;analyse;details of the case;;
analyse discover & mash up;;VO;analyse discover mash up;;;
analyse field and identify processes;;VO;analyse identify;field / processes;;
analyse if offer is financially bearable;;VO;analyse;if offer is financially bearable;;
analyse message;;VO;analyse;message;;
analyse request;;VO;analyse;request;;
analyse sender;;VO;analyse;sender;;
analyse the field of study;;VO;analyse;the field of study;;
analyse user details;;VO;analyse;user details;;
analyze and resolve generation failure;;VO;analyze resolve;generation failure;;
analyze brd;;VO;analyze;brd;;
analyze causing issues and resolve them;;VO;analyze resolve;causing issues / them;;
analyze data;;VO;analyze;data;;
analyze domain;;VO;analyze;domain;;
analyze feedback;;VO;analyze;feedback;;
analyze field and identify processess;;VO;analyze identify;field / processess;;
analyze insurance agreement;;VO;analyze;insurance agreement;;
analyze insurance agreement;;VO;analyze;insurance agreement;;
analyze offer;;VO;analyze;offer;;
analyze purchasing history;;VO;analyze;purchasing history;;
analyze requirement;;VO;analyze;requirement;;
analyze rfq;;VO;analyze;rfq;;
analyze rfq and produce l&m cost estimates;;VO;analyze produce;rfq / l&m cost estimates;;
analyze rfq and produce l&m esimates;;VO;analyze produce;rfq  / l&m esimates;;
analyze rfq and produce l&m estimates;;VO;analyze produce;rfq / l&m estimates;;
analyze rfq and produce l&m estimates;;VO;analyze produce;rfq / l&m estimates;;
analyze rfq and produce labor and material estimates;;VO;analyze produce;rfq  / labor and material estimates;;
analyze risks;;VO;analyze;risks;;
analyze sales quote;;VO;analyze;sales quote;;
analyze sales quote;;VO;analyze;sales quote;;
analyze sales quote;;VO;analyze;sales quote;;
analyze sales rfq. produce estimates;;VO;analyze produce;sales rfq / estimates;;
analyze the application;;VO;analyze;the application;;
analyze the costs to each model;;VO;analyze;the costs;to each model;
analyze the rfq;;VO;analyze;the rfq;;
analyze the rfq;;VO;analyze;the rfq;;
analyze the rqf;;VO;analyze;the rqf;;
annual planing;;AN;planning;;;
anounce customer about ticket solution;;VO;anounce;customer;about ticket solution;
anxiety or insomnia;;NA;insomnia;anxiety or;;
application;;AN;application;;;
application architecture;;NA;architecture;application;;
application evaluation;;AN;evaluation;application;;
application info correct?;;GATEWAY;correct?;application info;;
application rejected;;DES / EVENT;rejected;application;;
application review;;AN;review;application;;
application review;;AN;review;application;;
apply data to the electronic form;;VO;apply;data;to the electronic form;
apply disconnection fee;;VO;apply;disconnection fee;;
apply disconnection fee;;VO;apply;disconnection fee;;
apply for reconditioning;;VO;apply;;for reconditioning;
approval;;AN;approval;;;
approval granted;;DES / EVENT;granted;approval;;
approval of the site;;AN;approval;of the site;;
approval of the site (1 / 2 day);;AN;approval;of the site;(1 / 2 day);
approval of the site (1 / 2 day);;AN;approval;of the site;(1 / 2 day);
approval of the site (half a day);;AN;approval;of the site;(half a day);
approval process;;NA;process;approval;;
approve;;VO;approve;;;
approve & trigger order;;VO;approve trigger;order;;
approve advertisment;;VO;approve;advertisment;;
approve change request;;VO;approve;change request;;
approve create & publish advertisement;;VO;approve create publish;advertisement;;
approve customer;;VO;approve;customer;;
approve customer request;;VO;approve;customer request;;
approve documents;;VO;approve;documents;;
approve educational asisstance;;VO;approve;educational asisstance;;
approve educational assistance;;VO;approve;educational assistance;;
approve exit letter;;VO;approve;exit letter;;
approve fees and direct expenses;;VO;approve direct;fees / expenses;;
approve invoice;;VO;approve;invoice;;
approve loan (20%);;VO;approve;loan (20%);;
approve loan application;;VO;approve;loan application;;
approve manifesto of courses;;VO;approve;manifesto of courses;;
approve order;;VO;approve;order;;
approve participant expenses;;VO;approve;participant expenses;;
approve payment;;VO;approve;payment;;
approve po;;VO;approve;po;;
approve qoute;;VO;approve;qoute;;
approve recruitment of preferred applicant;;VO;approve;recruitment;of preferred applicant;
approve recruitment selection;;VO;approve;recruitment selection;;
approve special insurance proposal with negotiating terms;;VO;approve;special insurance proposal;with negotiating terms;
approve staff requisition;;VO;approve;staff requisition;;
approve terms and conditions;;VO;approve;terms and conditions;;
approve the application;;VO;approve;the application;;
approve the cr;;VO;approve;the cr;;
approve the request;;VO;approve;the request;;
approve vacation request;;VO;approve;vacation request;;
approved;;DES / EVENT;approved;;;
approved by manager;;DES / EVENT;approved;manager;;
aprove if there is no contradiction about marketability;;VO;aprove;if there is no contradiction about marketability;;
archieve interview;;VO;archieve;interview;;
archiv letter;;VO;archiv;letter;;
archive;;VO;archive;;;
archive & end process;;VO;archive end;process;;
archive cr;;VO;archive;cr;;
archive credit order;;VO;archive;credit order;;
archive invoice;;VO;archive;invoice;;
archive invoices;;VO;archive;invoices;;
archive letter;;VO;archive;letter;;
archive paid invoices by vendor and payment date;;VO;archive;paid invoices;by vendor and payment date;
archive paper based invoices as per company policy;;VO;archive;paper based invoices;as per company policy;
archive the cr;;VO;archive;the cr;;
archive the fourth page;;VO;archive;the fourth page;;
archived;;DES / EVENT;archived;;;
arrange deed;;VO;arrange;deed;;
arrange external testing activities;;VO;arrange;external testing activities;;
arrange for collection;;VO;arrange;;for collection;
arrange for medical assessment;;VO;arrange;;for medical assessment;
arrange mortage insurance;;VO;arrange;mortage insurance;;
arrange property inspection;;VO;arrange;property inspection;;
arrange shipment;;VO;arrange;shipment;;
arrange software;;VO;arrange;software;;
arrange the timetable;;VO;arrange;the timetable;;
arrange timetable;;VO;arrange;timetable;;
arrangement salary;;NA;salary;arrangement;;
arranges for a medical assessment (i / a);;DES / EVENT;arranges;a medical assessment (i / a);;
asesemble bicycle;;VO;asesemble;bicycle;;
asess claim;;VO;asess;claim;;
ask a certificate;;VO;ask;a certificate;;
ask a question or request problem solution;;VO;ask request;a question / problem solution;;
ask advisor for approval;;VO;ask;advisor for approval;;
ask an expert;;VO;ask;an expert;;
ask approval from supervisor;;VO;ask;approval;from supervisor;
ask approvals;;VO;ask;approvals;;
ask bill for help;;VO;ask;bill for help;;
ask charles to write down fee;;VO;ask;charles;to write down fee;
ask crm system;;VO;ask;crm system;;
ask customer feedback;;VO;ask;customer feedback;;
ask customer for more info;;VO;ask;customer;for more info;
ask customer for more information;;VO;ask;customer;for more information;
ask customer to complete form;;VO;ask;customer;to complete form;
ask customer to revise terms;;VO;ask;customer;to revise terms;
ask customer to update;;VO;ask;customer;to update;
ask customer update document;;VO;ask;customer update document;;
ask expert;;VO;ask;expert;;
ask expert for review;;VO;ask;expert;for review;
ask external expert;;VO;ask;external expert;;
ask external expert for review;;VO;ask;external expert;for review;
ask feedback;;VO;ask;feedback;;
ask for a quote;;VO;ask;;for a quote;
ask for accident details;;VO;ask;;for accident details;
ask for advisor approval;;VO;ask;;for advisor approval;
ask for payment;;VO;ask;;for payment;
ask for pizza;;VO;ask;;for pizza;
ask for registration info;;VO;ask;;for registration info;
ask for rejection notification;;VO;ask;;for rejection notification;
ask if she can contact with professors directly;;VO;ask;if she can contact with professors directly;;
ask proponents for ways to contact prof.;;VO;ask;proponents;for ways to contact prof.;
ask proponentto contact course professor;;VO;ask;proponent;to contact course professor;
ask the client to add relavant cost centre;;VO;ask;the client;to add relavant cost centre;
ask the client to confirm the invoice can be paid;;VO;ask;the client;to confirm the invoice can be paid;
ask the professor a description of the course and his time scheduling;;VO;ask;the professor a description;of the course and his time scheduling;
ask the supplier;;VO;ask;the supplier;;
assemble bicycle;;VO;assemble;bicycle;;
assemble bike;;VO;assemble;bike;;
assemble parts;;VO;assemble;parts;;
assemble selection panel;;VO;assemble;selection panel;;
assemble the bicycle;;VO;assemble;the bicycle;;
assembly;;AN;assembly;;;
assembly engine;;NA;engine;assembly;;
assembly motorcycle;;NA;motorcycle;assembly;;
assembly test;;AN;test;assembly;;
asses market situation / offers and feelings;;VO;asses;market situation / offers and feelings;;
assess and manage long term complications (sp5);;VO;assess manage;long term complications (sp5);;
assess applications & shortlist;;VO;assess;applications & shortlist;;
assess claim;;VO;assess;claim;;
assess company's needs;;VO;assess;company's needs;;
assess competency;;VO;assess;competency;;
assess cr;;VO;assess;cr;;
assess cr for sufficient detail;;VO;assess;cr;for sufficient detail;
assess customers' feelings and needs;;VO;assess;customers' feelings and needs;;
assess loan risk;;VO;assess;loan risk;;
assess received vendor master requests;;VO;assess;received vendor master requests;;
assess risk;;VO;assess;risk;;
assess risk level;;VO;assess;risk level;;
assess short listing;;VO;assess;short listing;;
assess the applicants eligibility;;VO;assess;the applicants eligibility;;
assess the change request;;VO;assess;the change request;;
assess the cr;;VO;assess;the cr;;
assessment;;AN;assessment;;;
assessment and confirm diagnosis;;AN;assessment confirm;diagnosis;;
asset ordered;;DES / EVENT;ordered;asset;;
asset received;;DES / EVENT;received;asset;;
assign;;VO;assign;;;
assign a carrier & prepare paperwork;;VO;assign prepare;carrier / paperwork;;
assign a carrier & prepare paperwork;;VO;assign prepare;carrier / paperwork;;
assign a carrier and prepare paperwork;;VO;assign prepare;carrier / paperwork;;
assign carrier & prepare paperwork;;VO;assign prepare;carrier / paperwork;;
assign case;;VO;assign;case;;
assign case id;;VO;assign;case id;;
assign case to expert;;VO;assign;case;to expert;
assign cases to pathologist;;VO;assign;cases;to pathologist;
assign container to gross pathology request;;VO;assign;container;to gross pathology request;
assign guide to the student;;VO;assign;guide;to the student;
assign id;;VO;assign;id;;
assign lo id;;VO;assign;lo id;;
assign loading doors to orders;;VO;assign;loading doors;to orders;
assign negative points;;VO;assign;negative points;;
assign order to waiter;;VO;assign;order;to waiter;
assign penalty points;;VO;assign;penalty points;;
assign points;;VO;assign;points;;
assign priority level;;VO;assign;priority level;;
assign repair to a technician;;VO;assign;repair;to a technician;
assign roles;;VO;assign;roles;;
assign roles in a team;;VO;assign;roles;in a team;
assign roles in team;;VO;assign;roles;in a team;
assign rules in a team;;VO;assign;rules;in a team;
assign sap vendor;;VO;assign;sap vendor;;
assign storage location in hub;;VO;assign;storage location;in hub;
assign storage location in trailer or goods issuing area;;VO;assign;storage location;in trailer or goods issuing area;
assign student to team;;VO;assign;student;to team;
assign task back to level 2;;VO;assign;task back;to level 2;
assign tasks to cooks;;VO;assign;tasks;to cooks;
assign tasks to development team members;;VO;assign;tasks;to development team members;
assign team roles;;VO;assign;team roles;;
assign technician repair task;;VO;assign;technician repair task;;
assign the request to the particular staff member;;VO;assign;the request;to the particular staff member;
assigns order to the waiter;;DES / EVENT;assigns;order;;
assigns technician;;DES / EVENT;assigns;technician;;
assigns technician to task;;DES / EVENT;assigns;technician;;
assist with advice how to manage lags;;VO;assist;with advice how;to manage lags;
attach document reference to sharepoint and service centre im;;VO;attach;document reference;to sharepoint and service centre im;
attach entry form to invoice;;VO;attach;entry form;to invoice;
attach form entry;;VO;attach;form entry;;
attach form to invoice;;VO;attach;form;to invoice;
attach link to wall post;;VO;attach;link;to wall post;
attach photo to wall post;;VO;attach;photo;to wall post;
attach records request form to sap invoice entry form;;VO;attach;records request form;to sap invoice entry form;
attach video to wall post;;VO;attach;video;to wall post;
attached to change record;;DES / EVENT;record;attached to change;;
attend a meeting;;VO;attend;a meeting;;
attend interview;;VO;attend;interview;;
attend interview;;VO;attend;interview;;
attend the final exam;;VO;attend;the final exam;;
attend to the mark from the professor;;VO;attend;to the mark;from the professor;
attraction booked;;DES / EVENT;booked;attraction;;
auction creation request;;AN;request;auction creation;;
authenticate login details;;VO;authenticate;login details;;
authenticate sign in details;;VO;authenticate;sign in details;;
authenticate the user;;VO;authenticate;the user;;
authorise purchase requisition;;VO;authorise;purchase requisition;;
authorise repairs;;VO;authorise;repairs;;
authorization given;;DES / EVENT;given;authorization;;
authorize;;VO;authorize;;;
authorize payment;;VO;authorize;payment;;
authorize repair;;VO;authorize;repair;;
automatic booking;;AN;booking;;;
automatic debit invoice;;VO;automatic;debit invoice;;
automatic process possible;;DES / EVENT;;automatic process;;
automatically approve;;VO;approve;;;
automatically check the contract documents;;VO;check;the contract documents;;
autorization of service;;AN;service;autorization of;;
availability check;;AN;check;availability;;
available;;NA;;;;
axle;;NA;;;;
back office assists citizen with potential problems;;DES / EVENT;assists;citizen;with potential problems;
back order;;VO;back;order;;
back-order part;;VO;back-order;part;;
backorder parts;;VO;backorder;parts;;
bake the pizza;;VO;bake;the pizze;;
bakery / fresh bread manufacturer;;NA;;bakery / fresh bread manufacturer;;
bank receives payment;;DES / EVENT;receives;payment;;
bank withdrawal;;AN;withdrawal;bank;;
bar grip;;NA;;bar grip;;
bar stock;;NA;;bar stock;;
bar tang;;NA;;bar tang;;
batch compliant invoices for allocation;;NA;allocation;batch compliant invoices for;;
batch of invoices;;NA;invoices;batch of;;
become a tutor;;VO;become;a tutor;;
beef;;NA;;beef;;
bill of material;;NA;;bill of material;;
bill services;;VO;bill;services;;
bill the credit card;;VO;bill;the credit card;;
billing;;AN;billing;;;
billing document received;;AN;billing;document received;;
billing information recived;;DES / EVENT;recived;billing information;;
blaze prescoring;;VO;blaze;prescoring;;
bless;;VO;bless;;;
boards flight;;DES / EVENT;boards;flight;;
boil water;;VO;boil;water;;
book attraction;;VO;book;attraction;;
book attraction manually;;VO;book;attraction manually;;
book bus;;VO;book;bus;;
book flight;;VO;book;flight;;
book hotel;;VO;book;hotel;;
book manually;;VO;book;manually;;
book seat as sold;;VO;book;seat as sold;;
book the car park location;;VO;book;the car park location;;
book train;;VO;book;train;;
booking another service;;AN;booking;another service;;
booking attraction;;AN;booking;attraction;;
booking confirmation;;AN;confirmation;booking;;
booking flight;;AN;booking;flight;;
break;;VO;break;;;
bring comp;;VO;bring;comp;;
bring computer to acm;;VO;bring;computer;to acm;
bring computer to amc computer repair;;VO;bring;computer;to amc computer repair;
bring invoice to outbox;;VO;bring;invoice;to outbox;
bring stuff to miranda;;VO;bring;stuff;to miranda;
bring the plan to the secretary;;VO;bring;the plan;to the secretary;
bring the request to francesca;;VO;bring;the request;to francesca;
bring to phd office;;VO;bring;to phd office;;
browse catlogue;;VO;browse;catlogue;;
browse list and choose content to view;;VO;browse choose;list / content;to view;
build frame;;VO;build;frame;;
build test & deployment;;AN;build test deployment;;;
building;;AN;building;;;
building (3 days);;AN;building;;(3 days);
building the site;;AN;building;the site;;
building the site(3 days);;AN;building;the site;(3 days);
bus booking;;AN;booking;bus;;
bus not in time;;DES / EVENT;;bus;;
business account;;NA;account;business;;
business task execution;;AN;execution;business task;;
buy 100 computers;;VO;buy;100 computers;;
buy a new book;;VO;buy;a new book;;
buy a used book;;VO;buy;a used book;;
buy extra dice;;VO;buy;extra dice;;
buy from amazon.com;;VO;buy;from amazon.com;;
buy tickets directly;;VO;buy;tickets directly;;
calculate best interest;;VO;calculate;best interest;;
calculate compensation;;VO;calculate;compensation;;
calculate consumption;;VO;calculate;consumption;;
calculate costs;;VO;calculate;costs;;
calculate credit;;VO;calculate;credit;;
calculate credit rating;;VO;calculate;credit rating;;
calculate fee;;VO;calculate;fee;;
calculate insurance contribution;;VO;calculate;insurance contribution;;
calculate production;;VO;calculate;production;;
calculate relevancy of parts based on the sum of tag counts for each wordform of the corresponding part-synset;;VO;calculate;relevancy;of parts based on the sum of tag counts for each wordform of the corresponding part-synset;
calculate threshold amount;;VO;calculate;threshold amount;;
calculating the member fee for every person;;AN;calculating;the member fee for every person;;
calculation and payment of duties and taxes;;AN;calculation payment;of duties and taxes;;
calculation and payment of duties and taxes;;AN;calculation  payment;duties and taxes;;
calculation of duties and taxes;;AN;calculation;of duties and taxes;;
calculation of membership fee;;AN;calculation;of membership fee;;
calculation of the membership fee;;AN;calculation;of the membership fee;;
calendar event;;NA;;calendar event;;
calendar update 1;;AN;update;calender;;
calendar update 2;;AN;update;calender;;
calender;;NA;;calender;;
call a kickoff meeting;;VO;call;a kickoff meeting;;
call a meeting;;VO;call;a meeting;;
call a sub-process;;VO;call;a sub-process;;
call applicant & complete data;;VO;call;applicant& complete data;;
call client;;VO;call;client;;
call client and clarify issue;;VO;call clarify;client / issue;;
call client to confirm payment ability;;VO;call;client;to confirm payment ability;
call customer;;VO;call;customer;;
call dca;;VO;call;dca;;
call garage;;VO;call;garage;;
call out drink;;VO;call;out drink;;
call police;;VO;call;police;;
call taxi;;VO;call;taxi;;
call the help desk;;VO;call;the help desk;;
call the operator;;VO;call;the operator;;
call travel agency;;VO;call;travel agency;;
calm customer;;VO;calm;customer;;
calm the boyfriend down;;VO;calm;the boyfriend down;;
cancel application;;VO;cancel;application;;
cancel customer po;;VO;cancel;customer po;;
cancel exam;;VO;cancel;exam;;
cancel expert;;VO;cancel;expert;;
cancel journey;;VO;cancel;journey;;
cancel message;;VO;cancel;message;;
cancel operation;;VO;cancel;operation;;
cancel order;;VO;cancel;order;;
cancel po;;VO;cancel;po;;
cancel policy;;VO;cancel;policy;;
cancel request;;VO;cancel;request;;
cancel task;;VO;cancel;task;;
cancel the application;;VO;cancel;the application;;
cancel the quote;;VO;cancel;the quote;;
cancel timed-out partners;;VO;cancel;timed-out partners;;
cancel transaction;;VO;cancel;transaction;;
cancel transaction + write logfile;;VO;cancel write;transaction / logfile;;
cancellation;;AN;cancellation;;;
cancellation confirmed;;DES / EVENT;confirmed;cancellation;;
capacity plan review and adjustment;;AN;review adjustment;capacity plan;;
card screen;;NA;screen;card;;
care facility visit (sp3);;AN;visit;care facility;(sp3);
carry out interview;;VO;carry out;interview;;
carry out the guerilla activities;;VO;carry out;the guerilla activities;;
cart check out;;AN;check out;cart;;
case details updated;;DES / EVENT;updated;case details;;
cash check;;AN;check;cash;;
categorise invoices;;VO;categorise;invoices;;
categorise invoices by vendor;;VO;categorise;invoices;by vendor;
categorize invoice by staff member;;VO;categorize;invoice;by staff member;
categorize the invoices;;VO;categorize;the invoices;;
catering / international manufacturing;;AN;manufacturing;catering / international;;
catering / international manufacturing;;AN;manufacturing;catering / international;;
catering division manufacturing;;AN;manufacturing;catering division;;
cc number;;NA;number;cc;;
central component;;NA;component;central;;
cereal;;NA;;;;
change / refine search criteria;;VO;change refine;search criteria;;
change code;;VO;change;code;;
change customer profile;;VO;change;customer profile;;
change date;;VO;change;date;;
change name in system;;VO;change;name in system;;
change order;;VO;change;order;;
change p&e judge availability;;VO;change;p&e judge availability;;
change p&e schedules;;VO;change;p&e schedules;;
change p&e schedules;;VO;change;p&e schedules;;
change page information;;VO;change;page information;;
change po;;VO;change;po;;
change profile;;VO;change;profile;;
change status of cr in sharepoint to closed;;VO;change;status;of cr in sharepoint to closed;
change status of invoice with sap;;VO;change;status;of invoice with sap;
change status of validated invoices from parked to validated;;VO;change;status;of validated invoices from parked to validated;
change status to parked to validated;;VO;change;status;to parked to validated;
change the invoice status from parked to validated;;VO;change;the invoice status from parked;to validated;
change the state of invoices;;VO;change;the state;of invoices;
change the status of the invoices form parked to validated in sap system;;VO;change;the status;of the invoices form parked to validated in sap system;
characterization of problem;;AN;characterization;of problem;;
charge $35 per paid invoice;;VO;charge;$35;per paid invoice;
charge clients;;VO;charge;clients;;
charge fee;;VO;charge;fee;;
charge late fee;;VO;charge;late fee;;
charge late fee;;VO;charge;late fee;;
charles sends a letter to person and explaines why not;;DES / EVENT;sends;letter;;
check;;VO;check;;;
check 'invoice entered correctly' on invoice entry form;;VO;check;invoice entered correctly';on invoice entry form;
"check ""default account"" table for new entries";;VO;check;"""default account"" table";for new entries;
check / uncheck 'flexible with dates' box;;VO;check uncheck;'flexible with dates' box;;
check ability to swallow;;VO;check;ability;to swallow;
check account;;VO;check;account;;
check account defaulter table in database;;VO;check;account defaulter table;in database;
check accounts for payments;;VO;check;accounts;for payments;
check ad's location;;VO;check;ad's location;;
check affected systems for impacts to business unit;;VO;check;affected systems for impacts;to business unit;
